n,dimension,trials,num_pairs,mean_of_trial_means,std_of_trial_means,min_of_trial_means,max_of_trial_means,mean_of_trial_variances,std_of_trial_variances,min_of_trial_variances,max_of_trial_variances
2,5,10000,1,0.7726815050930794,0.1400373095960801,0.09999718968681864,0.9996912147399535,0.0,0.0,0.0,0.0
4,10,10000,6,0.7590090728886123,0.05374119528781075,0.5256535994445165,0.9117731124612036,0.007114183799883841,0.005095420579602916,9.718035293624954e-05,0.03995353668008938
6,15,10000,15,0.7558369196601752,0.03318695953077472,0.6086085634212222,0.8677231728182827,0.005606225360636873,0.002562000130706452,0.0007984028631623538,0.022463550213626275
8,20,10000,28,0.7543549601095988,0.024183146422271526,0.6592870288272293,0.8451523292418454,0.004425635887392669,0.0015344615876457036,0.0011334056620259402,0.01614272258784646
10,25,10000,45,0.7531123011611159,0.018916875531010315,0.6756042159253148,0.8215874178275004,0.003674261581806804,0.0010365952896014457,0.0011717955468905192,0.010117050444400595
