game_label,n_agents,competition_key,competition_value,adversary_model,adversary_elo,run_count,adversary_utility_mean,adversary_utility_std,baseline_mean_utility_mean,baseline_mean_utility_std,mean_utility,consensus_rate
game3,8,"sigma=0.50, alpha=0.20",0.1,claude-sonnet-4-20250514,1389.0,4,17.42075,20.194804337997436,3.946178571428571,10.29956781563069,5.6305,0.75
game3,8,"sigma=0.50, alpha=0.20",0.1,gemini-2.5-pro,1448.0,3,29.76666666666667,25.885581572244686,2.6095238095238096,2.2687465447585238,6.004166666666667,0.6666666666666666
game3,8,"sigma=0.50, alpha=0.80",0.4,amazon-nova-micro-v1.0,1240.0,3,19.333333333333332,8.144527815247079,8.571428571428571,6.244997998398398,9.916666666666666,1.0
game3,8,"sigma=0.50, alpha=0.80",0.4,gpt-4o-mini-2024-07-18,1317.0,3,14.666666666666666,18.009256878986797,12.09047619047619,15.118446182263122,12.4125,1.0
game3,8,"sigma=0.50, alpha=0.80",0.4,claude-sonnet-4-20250514,1389.0,4,7.485,11.776455324077785,5.487857142857143,9.210193517285635,5.7375,1.0
game3,8,"sigma=0.50, alpha=0.80",0.4,gemini-2.5-pro,1448.0,4,2.5825,11.85287131176802,0.3632142857142857,6.949904161723589,0.640625,0.75
game3,8,"sigma=0.50, alpha=0.80",0.4,gpt-5.4-high,1484.0,1,14.0,,15.285714285714286,,15.125,1.0
game3,10,"sigma=0.20, alpha=0.20",0.04000000000000001,amazon-nova-micro-v1.0,1240.0,3,4.0,3.605551275463989,8.296296296296296,3.6197901401098127,7.866666666666667,1.0
game3,10,"sigma=0.20, alpha=0.20",0.04000000000000001,gpt-4o-mini-2024-07-18,1317.0,3,14.1439,17.284161583079463,2.032788888888889,5.020721594920764,3.2439,1.0
game3,10,"sigma=0.20, alpha=0.20",0.04000000000000001,claude-sonnet-4-20250514,1389.0,2,11.25,4.45477272147525,9.600000000000001,0.4242640687119289,9.765,1.0
game3,10,"sigma=0.20, alpha=0.20",0.04000000000000001,gemini-2.5-pro,1448.0,3,15.0,25.98076211353316,1.8148148148148149,3.143351465587963,3.1333333333333333,0.3333333333333333
game3,10,"sigma=0.20, alpha=0.80",0.16000000000000003,amazon-nova-micro-v1.0,1240.0,2,18.5,12.020815280171307,10.11111111111111,0.15713484026367666,10.95,1.0
game3,10,"sigma=0.20, alpha=0.80",0.16000000000000003,gpt-4o-mini-2024-07-18,1317.0,1,36.0,,26.555555555555557,,27.5,1.0
game3,10,"sigma=0.20, alpha=0.80",0.16000000000000003,claude-sonnet-4-20250514,1389.0,2,16.245,1.2091525958289968,18.71,2.531442276647839,18.4635,1.0
game3,10,"sigma=0.20, alpha=0.80",0.16000000000000003,gemini-2.5-pro,1448.0,4,4.25,8.5,2.5,2.9557783263301887,2.675,0.5
game3,10,"sigma=0.50, alpha=0.20",0.1,amazon-nova-micro-v1.0,1240.0,3,7.5,5.220153254455275,0.15555555555555553,2.9107718207706688,0.89,1.0
game3,10,"sigma=0.50, alpha=0.20",0.1,gpt-4o-mini-2024-07-18,1317.0,3,7.8,8.26559132790873,14.225925925925926,24.49756937636455,13.583333333333334,1.0
game3,10,"sigma=0.50, alpha=0.20",0.1,claude-sonnet-4-20250514,1389.0,4,16.75,18.117670931993437,11.61111111111111,7.081826273955441,12.125,1.0
game3,10,"sigma=0.50, alpha=0.20",0.1,gemini-2.5-pro,1448.0,3,23.900000000000002,8.563293758829017,2.8518518518518516,6.513360754077514,4.956666666666667,1.0
game3,10,"sigma=0.50, alpha=0.80",0.4,amazon-nova-micro-v1.0,1240.0,4,20.025,10.191622376573156,4.513333333333334,9.00943556601117,6.0645,1.0
game3,10,"sigma=0.50, alpha=0.80",0.4,gpt-4o-mini-2024-07-18,1317.0,2,22.464000000000002,1.2218805178903553,18.639000000000003,0.9036824663564106,19.021500000000003,1.0
game3,10,"sigma=0.50, alpha=0.80",0.4,claude-sonnet-4-20250514,1389.0,4,17.0,14.165686240583852,6.5,13.364315854977574,7.55,1.0
game3,10,"sigma=0.50, alpha=0.80",0.4,gemini-2.5-pro,1448.0,4,10.675,2.947739246722251,3.322222222222222,11.824735182654944,4.0575,1.0
