game_label,adversary_model,adversary_elo,run_count,adversary_utility_mean,adversary_utility_std,baseline_mean_utility_mean,baseline_mean_utility_std,mean_utility,consensus_rate
game1,amazon-nova-micro-v1.0,1240.0,85,41.252847058823534,34.68960645273131,46.02204649859944,29.491141496440772,45.16364705882353,1.0
game1,gpt-4o-mini-2024-07-18,1317.0,96,41.071933936885415,35.552320403732445,43.38758899692741,32.483450211986195,42.70956781197916,0.9791666666666666
game1,claude-sonnet-4-20250514,1389.0,68,55.4837657975,31.781004769218363,50.108269216669,31.698018192512627,51.273206241911765,1.0
game1,gemini-2.5-pro,1448.0,100,55.38686,30.346858484515195,49.57841190476191,31.269498545528577,50.650972499999995,1.0
game1,gpt-5.4-high,1484.0,47,77.19119202127659,25.766182147897737,73.7927587723742,28.98542822029497,74.40986631205674,1.0
game2,amazon-nova-micro-v1.0,1240.0,78,78.7098173076923,16.22283100605525,82.60498068579568,12.221858621283877,81.03420560256411,1.0
game2,gpt-4o-mini-2024-07-18,1317.0,80,79.32830625,17.752398718200315,82.61505194444445,11.795183342064858,81.15128958333334,1.0
game2,claude-sonnet-4-20250514,1389.0,80,85.39380488750001,12.177087337050677,79.10111522539682,13.115076003665525,80.56965653958333,1.0
game2,gemini-2.5-pro,1448.0,80,85.86467292649999,12.837193239088773,80.26738147167858,14.10949906528962,81.23399239254167,1.0
game2,gpt-5.4-high,1484.0,18,91.15261111111111,8.358613198645765,82.19875925925925,18.39163546904452,86.04810648148148,1.0
game3,amazon-nova-micro-v1.0,1240.0,65,17.52423230769231,16.266256766358268,13.72935628815629,13.193240803399563,14.508395256410257,0.9692307692307692
game3,gpt-4o-mini-2024-07-18,1317.0,70,15.843551449142858,14.532830709994178,13.634509540721089,12.409767537182946,13.768250307857143,0.9285714285714286
game3,claude-sonnet-4-20250514,1389.0,75,17.060705312,18.239058254207734,10.879161944795767,12.85298440667812,12.256305736444444,0.84
game3,gemini-2.5-pro,1448.0,77,16.94687719818182,16.620011195745384,8.53842230695032,12.589029151514893,10.246669155313853,0.8181818181818182
game3,gpt-5.4-high,1484.0,20,30.622900000000005,15.276816053298404,23.869119047619048,14.16829727691566,26.758116666666666,1.0
