game_label,competition_key,competition_value,adversary_model,adversary_elo,run_count,adversary_utility_mean,adversary_utility_std,baseline_mean_utility_mean,baseline_mean_utility_std,mean_utility,consensus_rate
game1,comp=0.00,0.0,amazon-nova-micro-v1.0,1240.0,17,78.03200000000001,39.15909546963514,89.46357889822596,16.610766032740578,85.72024509803921,1.0
game1,comp=0.00,0.0,gpt-4o-mini-2024-07-18,1317.0,20,90.5989,25.27223946067888,92.36880158730159,13.015099938477144,91.52353333333333,1.0
game1,comp=0.00,0.0,claude-sonnet-4-20250514,1389.0,14,100.0,0.0,97.55102040816327,6.325264470456198,97.91666666666666,1.0
game1,comp=0.00,0.0,gemini-2.5-pro,1448.0,20,100.0,0.0,98.95,4.695742752749559,99.475,1.0
game1,comp=0.00,0.0,gpt-5.4-high,1484.0,20,100.0,0.0,100.0,0.0,100.0,1.0
game1,comp=0.25,0.25,amazon-nova-micro-v1.0,1240.0,16,48.0625,31.35276436509759,50.41825396825397,21.989290918353024,50.651041666666664,1.0
game1,comp=0.25,0.25,gpt-4o-mini-2024-07-18,1317.0,20,40.9928,26.05543194119233,44.273177777777775,26.276592896118874,42.690979166666665,1.0
game1,comp=0.25,0.25,claude-sonnet-4-20250514,1389.0,13,65.16153846153847,22.22418121707143,58.69230769230769,19.294319610464868,60.233717948717945,1.0
game1,comp=0.25,0.25,gemini-2.5-pro,1448.0,20,65.25,14.610288372095518,57.432380952380946,16.885491476802667,57.97416666666667,1.0
game1,comp=0.25,0.25,gpt-5.4-high,1484.0,9,75.56666666666666,11.711746240420341,70.20934744268078,15.962169831737834,70.75833333333334,1.0
game1,comp=0.50,0.5,amazon-nova-micro-v1.0,1240.0,19,32.68052631578947,23.77212617838244,37.193517126148706,18.838013404568937,36.58372807017544,1.0
game1,comp=0.50,0.5,gpt-4o-mini-2024-07-18,1317.0,20,27.177315,25.8866649630812,31.367171507936508,19.26461099709425,30.903717916666665,0.95
game1,comp=0.50,0.5,claude-sonnet-4-20250514,1389.0,12,50.00833333333333,21.35438887541445,46.480158730158735,18.388535303426792,46.65555555555556,1.0
game1,comp=0.50,0.5,gemini-2.5-pro,1448.0,20,49.9,15.255370063996269,41.73444444444444,16.774129749801126,43.17041666666667,1.0
game1,comp=0.50,0.5,gpt-5.4-high,1484.0,5,74.28,13.479317490140224,66.97999999999999,7.949968553396923,70.28,1.0
game1,comp=0.75,0.75,amazon-nova-micro-v1.0,1240.0,17,23.96470588235294,25.498944614838244,29.924463118580764,16.79894456893846,29.46078431372549,1.0
game1,comp=0.75,0.75,gpt-4o-mini-2024-07-18,1317.0,19,24.010157894736842,21.426969802520578,27.938021888053466,20.374820283630893,26.73734298245614,1.0
game1,comp=0.75,0.75,claude-sonnet-4-20250514,1389.0,12,43.29750000000001,19.575003599210163,34.57416666666666,18.785884563639367,36.758541666666666,1.0
game1,comp=0.75,0.75,gemini-2.5-pro,1448.0,20,36.88355,22.027463897012982,29.155944444444447,16.21586391802102,31.171529166666666,1.0
game1,comp=0.75,0.75,gpt-5.4-high,1484.0,5,56.58,16.654789101036375,54.239999999999995,20.566672069151096,54.660000000000004,1.0
