game_label,experiment_family,n_agents,competition_key,run_count
game2,homogeneous_adversary,4,"rho=0.900, theta=0.20",17
game2,homogeneous_adversary,4,"rho=0.900, theta=0.80",17
game2,homogeneous_adversary,6,"rho=-0.191, theta=0.20",16
game2,homogeneous_adversary,6,"rho=-0.191, theta=0.80",16
game2,homogeneous_adversary,6,"rho=0.900, theta=0.20",16
game2,homogeneous_adversary,6,"rho=0.900, theta=0.80",17
game2,homogeneous_adversary,8,"rho=-0.137, theta=0.20",16
game2,homogeneous_adversary,8,"rho=-0.137, theta=0.80",16
game2,homogeneous_adversary,8,"rho=0.900, theta=0.20",16
game2,homogeneous_adversary,8,"rho=0.900, theta=0.80",15
game2,homogeneous_adversary,10,"rho=-0.106, theta=0.20",16
game2,homogeneous_adversary,10,"rho=-0.106, theta=0.80",16
game2,homogeneous_adversary,10,"rho=0.900, theta=0.20",16
game2,homogeneous_adversary,10,"rho=0.900, theta=0.80",17
game2,homogeneous_control,2,"rho=-1.000, theta=0.20",2
game2,homogeneous_control,2,"rho=-1.000, theta=0.80",2
game2,homogeneous_control,2,"rho=0.900, theta=0.20",2
game2,homogeneous_control,2,"rho=0.900, theta=0.80",2
game2,homogeneous_control,4,"rho=-0.320, theta=0.20",2
game2,homogeneous_control,4,"rho=-0.320, theta=0.80",2
game2,homogeneous_control,4,"rho=0.900, theta=0.20",2
game2,homogeneous_control,4,"rho=0.900, theta=0.80",2
game2,homogeneous_control,6,"rho=-0.191, theta=0.20",2
game2,homogeneous_control,6,"rho=-0.191, theta=0.80",2
game2,homogeneous_control,6,"rho=0.900, theta=0.20",2
game2,homogeneous_control,6,"rho=0.900, theta=0.80",2
game2,homogeneous_control,8,"rho=-0.137, theta=0.20",2
game2,homogeneous_control,8,"rho=-0.137, theta=0.80",2
game2,homogeneous_control,8,"rho=0.900, theta=0.20",2
game2,homogeneous_control,8,"rho=0.900, theta=0.80",2
game2,homogeneous_control,10,"rho=-0.106, theta=0.20",2
game2,homogeneous_control,10,"rho=-0.106, theta=0.80",2
game2,homogeneous_control,10,"rho=0.900, theta=0.20",2
game2,homogeneous_control,10,"rho=0.900, theta=0.80",2
game3,homogeneous_adversary,2,"sigma=0.20, alpha=0.20",19
game3,homogeneous_adversary,2,"sigma=0.20, alpha=0.80",20
game3,homogeneous_adversary,2,"sigma=0.50, alpha=0.20",20
game3,homogeneous_adversary,2,"sigma=0.50, alpha=0.80",20
game3,homogeneous_adversary,4,"sigma=0.20, alpha=0.20",16
game3,homogeneous_adversary,4,"sigma=0.20, alpha=0.80",17
game3,homogeneous_adversary,4,"sigma=0.50, alpha=0.20",15
game3,homogeneous_adversary,4,"sigma=0.50, alpha=0.80",15
game3,homogeneous_adversary,6,"sigma=0.20, alpha=0.20",15
game3,homogeneous_adversary,6,"sigma=0.20, alpha=0.80",16
game3,homogeneous_adversary,6,"sigma=0.50, alpha=0.20",16
game3,homogeneous_adversary,6,"sigma=0.50, alpha=0.80",17
game3,homogeneous_adversary,8,"sigma=0.20, alpha=0.20",15
game3,homogeneous_adversary,8,"sigma=0.20, alpha=0.80",11
game3,homogeneous_adversary,8,"sigma=0.50, alpha=0.20",13
game3,homogeneous_adversary,8,"sigma=0.50, alpha=0.80",15
game3,homogeneous_adversary,10,"sigma=0.20, alpha=0.20",11
game3,homogeneous_adversary,10,"sigma=0.20, alpha=0.80",9
game3,homogeneous_adversary,10,"sigma=0.50, alpha=0.20",13
game3,homogeneous_adversary,10,"sigma=0.50, alpha=0.80",14
game3,homogeneous_control,2,"sigma=0.20, alpha=0.20",2
game3,homogeneous_control,2,"sigma=0.20, alpha=0.80",2
game3,homogeneous_control,2,"sigma=0.50, alpha=0.20",2
game3,homogeneous_control,2,"sigma=0.50, alpha=0.80",2
game3,homogeneous_control,4,"sigma=0.20, alpha=0.20",2
game3,homogeneous_control,4,"sigma=0.20, alpha=0.80",2
game3,homogeneous_control,4,"sigma=0.50, alpha=0.20",2
game3,homogeneous_control,4,"sigma=0.50, alpha=0.80",2
game3,homogeneous_control,6,"sigma=0.20, alpha=0.20",2
game3,homogeneous_control,6,"sigma=0.20, alpha=0.80",2
game3,homogeneous_control,6,"sigma=0.50, alpha=0.20",2
game3,homogeneous_control,6,"sigma=0.50, alpha=0.80",2
game3,homogeneous_control,8,"sigma=0.20, alpha=0.20",1
game3,homogeneous_control,8,"sigma=0.20, alpha=0.80",2
game3,homogeneous_control,8,"sigma=0.50, alpha=0.20",2
game3,homogeneous_control,8,"sigma=0.50, alpha=0.80",2
game3,homogeneous_control,10,"sigma=0.20, alpha=0.20",2
game3,homogeneous_control,10,"sigma=0.20, alpha=0.80",2
game3,homogeneous_control,10,"sigma=0.50, alpha=0.20",2
game3,homogeneous_control,10,"sigma=0.50, alpha=0.80",2
