competition_index,model,model_short,elo_model_name,elo,num_runs,avg_utility,std_utility
0.2,qwen3-max-preview,Qwen3 Max,qwen3-max-preview,1435,2,47.5,5.5
0.2,gemini-2.5-pro,Gemini 2.5 Pro,gemini-2.5-pro,1448,2,53.0,6.0
0.2,claude-opus-4-5-20251101,Opus 4.5,claude-opus-4-5-20251101,1468,2,34.212500000000006,0.21250000000000213
0.2,claude-opus-4-5-20251101-thinking-32k,Opus 4.5 Thinking,claude-opus-4-5-20251101-thinking-32k,1474,2,53.0,4.0
0.2,gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,gpt-5.2-chat-latest-20260210,1478,2,46.8,1.8000000000000007
0.2,gpt-5.4-high,GPT-5.4 High,gpt-5.4-high,1484,2,36.89,6.109999999999999
0.2,gemini-3-pro,Gemini 3 Pro,gemini-3-pro,1486,2,34.5,5.5
0.2,claude-opus-4-6,Opus 4.6,claude-opus-4-6,1499,2,36.4995,13.900499999999997
0.2,claude-opus-4-6-thinking,Opus 4.6 Thinking,claude-opus-4-6-thinking,1504,2,36.47027862,17.529721379999998
0.4,llama-3.2-1b-instruct,Llama 3.2 1B,llama-3.2-1b-instruct,1110,4,0.0,0.0
0.4,llama-3.2-3b-instruct,Llama 3.2 3B,llama-3.2-3b-instruct,1166,4,-4.0,6.363961030678928
0.4,llama-3.1-8b-instruct,Llama 3.1 8B,llama-3.1-8b-instruct,1211,4,3.162073950000001,7.094438781358101
0.4,amazon-nova-micro-v1.0,Nova Micro,amazon-nova-micro-v1.0,1240,4,-8.15,5.483383991660624
0.4,claude-3-haiku-20240307,Claude 3 Haiku,claude-3-haiku-20240307,1260,4,17.105,35.962000403203376
0.4,command-r-plus-08-2024,Command R+,command-r-plus-08-2024,1276,4,21.9382575,24.72388574655931
0.4,amazon-nova-pro-v1.0,Nova Pro,amazon-nova-pro-v1.0,1290,4,34.3100875,23.210098669500926
0.4,qwen2.5-72b-instruct,Qwen2.5 72B,qwen2.5-72b-instruct,1302,4,40.525,23.693393066422548
0.4,gpt-4o-mini-2024-07-18,GPT-4o mini,gpt-4o-mini-2024-07-18,1317,4,14.10965,17.163124289228346
0.4,llama-3.3-70b-instruct,Llama 3.3 70B,llama-3.3-70b-instruct,1318,4,22.96775,28.838954908031948
0.4,gpt-4.1-nano-2025-04-14,GPT-4.1 nano,gpt-4.1-nano-2025-04-14,1322,4,8.5,14.722431864335457
0.4,qwq-32b,QwQ-32B,qwq-32b,1336,4,26.59024732275,25.52948859947141
0.4,gpt-4o-2024-05-13,GPT-4o,gpt-4o-2024-05-13,1345,4,11.525,16.869406480371502
0.4,deepseek-v3,DeepSeek V3,deepseek-v3,1358,4,27.95,25.675036514092827
0.4,o3-mini-high,o3-mini-high,o3-mini-high,1363,4,34.89,22.648728441128874
0.4,gemma-3-27b-it,Gemma 3 27B,gemma-3-27b-it,1365,4,42.25,25.719788101770977
0.4,claude-sonnet-4-20250514,Sonnet 4,claude-sonnet-4-20250514,1389,4,20.380000000000003,14.517375795921247
0.4,deepseek-r1,DeepSeek R1,deepseek-r1,1398,4,31.23275,28.272543795836626
0.4,claude-haiku-4-5-20251001,Haiku 4.5,claude-haiku-4-5-20251001,1407,4,16.668750000000003,11.417815232674771
0.4,deepseek-r1-0528,DeepSeek R1-0528,deepseek-r1-0528,1422,4,30.926250000000003,22.131520060481613
0.4,qwen3-max-preview,Qwen3 Max,qwen3-max-preview,1435,4,36.8,23.988434713419714
0.4,gemini-2.5-pro,Gemini 2.5 Pro,gemini-2.5-pro,1448,4,33.302,32.77802407101441
0.4,claude-opus-4-5-20251101,Opus 4.5,claude-opus-4-5-20251101,1468,4,41.29937575,20.081670460079117
0.4,claude-opus-4-5-20251101-thinking-32k,Opus 4.5 Thinking,claude-opus-4-5-20251101-thinking-32k,1474,4,27.875000000000004,25.19080933594632
0.4,gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,gpt-5.2-chat-latest-20260210,1478,4,26.7515,18.084740992062894
0.4,gpt-5.4-high,GPT-5.4 High,gpt-5.4-high,1484,4,40.8975,24.71591630407418
0.4,gemini-3-pro,Gemini 3 Pro,gemini-3-pro,1486,4,26.723824999999998,12.794612846502039
0.4,claude-opus-4-6,Opus 4.6,claude-opus-4-6,1499,4,33.95,33.50235066379671
0.4,claude-opus-4-6-thinking,Opus 4.6 Thinking,claude-opus-4-6-thinking,1504,4,32.8258575,22.042711159948514
0.8,llama-3.2-1b-instruct,Llama 3.2 1B,llama-3.2-1b-instruct,1110,2,0.0,0.0
0.8,llama-3.2-3b-instruct,Llama 3.2 3B,llama-3.2-3b-instruct,1166,2,0.0,0.0
0.8,llama-3.1-8b-instruct,Llama 3.1 8B,llama-3.1-8b-instruct,1211,2,-4.455,4.455
0.8,amazon-nova-micro-v1.0,Nova Micro,amazon-nova-micro-v1.0,1240,2,0.0,0.0
0.8,claude-3-haiku-20240307,Claude 3 Haiku,claude-3-haiku-20240307,1260,2,8.5,8.5
0.8,command-r-plus-08-2024,Command R+,command-r-plus-08-2024,1276,2,0.0,0.0
0.8,amazon-nova-pro-v1.0,Nova Pro,amazon-nova-pro-v1.0,1290,2,-2.0,2.0
0.8,qwen2.5-72b-instruct,Qwen2.5 72B,qwen2.5-72b-instruct,1302,2,-1.0,1.0
0.8,gpt-4o-mini-2024-07-18,GPT-4o mini,gpt-4o-mini-2024-07-18,1317,2,5.9049000000000005,5.9049000000000005
0.8,llama-3.3-70b-instruct,Llama 3.3 70B,llama-3.3-70b-instruct,1318,2,-1.35,1.35
0.8,gpt-4.1-nano-2025-04-14,GPT-4.1 nano,gpt-4.1-nano-2025-04-14,1322,2,0.0,0.0
0.8,qwq-32b,QwQ-32B,qwq-32b,1336,2,1.3559717115000003,1.3559717115000003
0.8,gpt-4o-2024-05-13,GPT-4o,gpt-4o-2024-05-13,1345,2,-3.7935000000000003,1.6065
0.8,deepseek-v3,DeepSeek V3,deepseek-v3,1358,2,0.0,0.0
0.8,o3-mini-high,o3-mini-high,o3-mini-high,1363,2,0.0,0.0
0.8,gemma-3-27b-it,Gemma 3 27B,gemma-3-27b-it,1365,2,-4.050000000000001,4.050000000000001
0.8,claude-sonnet-4-20250514,Sonnet 4,claude-sonnet-4-20250514,1389,2,-2.7,2.7
0.8,deepseek-r1,DeepSeek R1,deepseek-r1,1398,2,0.0,0.0
0.8,claude-haiku-4-5-20251001,Haiku 4.5,claude-haiku-4-5-20251001,1407,2,-1.8,1.8
0.8,deepseek-r1-0528,DeepSeek R1-0528,deepseek-r1-0528,1422,2,0.0,0.0
0.8,qwen3-max-preview,Qwen3 Max,qwen3-max-preview,1435,2,0.0,0.0
0.8,gemini-2.5-pro,Gemini 2.5 Pro,gemini-2.5-pro,1448,2,0.0,0.0
0.8,claude-opus-4-5-20251101,Opus 4.5,claude-opus-4-5-20251101,1468,2,-0.9841500000000001,0.9841500000000001
0.8,claude-opus-4-5-20251101-thinking-32k,Opus 4.5 Thinking,claude-opus-4-5-20251101-thinking-32k,1474,2,4.05,4.05
0.8,gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,gpt-5.2-chat-latest-20260210,1478,2,0.0,0.0
0.8,gpt-5.4-high,GPT-5.4 High,gpt-5.4-high,1484,2,22.275000000000002,22.275000000000002
0.8,gemini-3-pro,Gemini 3 Pro,gemini-3-pro,1486,2,7.971615000000001,7.971615000000001
0.8,claude-opus-4-6,Opus 4.6,claude-opus-4-6,1499,2,-1.215,1.215
0.8,claude-opus-4-6-thinking,Opus 4.6 Thinking,claude-opus-4-6-thinking,1504,2,0.29524500000000004,0.29524500000000004
