n_agents,competition_level,position,mean_utility,std_utility,sem_utility,ci95_utility,n,mean_advantage_vs_run_mean,std_advantage_vs_run_mean,sem_advantage_vs_run_mean,ci95_advantage_vs_run_mean,n_advantage
3,aggregate,1,56.695540485479455,28.368662047504294,1.9169765320681544,3.7781797841881875,219.0,5.416513107417047,12.44000540668163,0.8406176640786476,1.656778062497703,219.0
3,aggregate,2,50.71082854472603,31.765155336031604,2.146490279122244,4.23052971378149,219.0,-0.5681988333363773,7.966453726421083,0.5383230556232598,1.0609839255173013,219.0
3,aggregate,3,46.43071310398174,34.73587212196417,2.3472327164115856,4.6261741078091,219.0,-4.84831427408067,11.023469970001972,0.7448970698394592,1.4681218071731732,219.0
5,aggregate,1,37.23214407692308,17.146820365100563,1.7974751786729508,3.570998175016507,91.0,5.084768841758241,14.566385218079986,1.5269720749963542,3.033596545760861,91.0
5,aggregate,2,34.947649065934066,16.274241420319257,1.7060040510072452,3.389274814473586,91.0,2.8002738307692314,13.666188214631179,1.432605788118565,2.846121446120009,91.0
5,aggregate,3,32.376831428571435,16.160763630521203,1.6941083463722435,3.365641920931496,91.0,0.22945619340659365,12.795161664802055,1.341297395661757,2.664721387473481,91.0
5,aggregate,4,27.00239897802198,18.26390722113628,1.9145776999213109,3.803642772632846,91.0,-5.144976257142858,14.676022394581466,1.5384651739631048,3.056429592871893,91.0
5,aggregate,5,29.177852626373625,17.787431080522147,1.8646294285947533,3.7044118136362103,91.0,-2.969522608791208,15.264858166027823,1.6001919350157718,3.1790605775353318,91.0
3,0.0,1,91.4186880597015,12.43236793767519,1.5188554829789223,3.032492814846344,67.0,-0.7912980597014928,6.493026181742298,0.7932494008143987,1.5837735290212689,67.0
3,0.0,2,93.22094044776121,12.623382544008201,1.5421916312985646,3.079084938256736,67.0,1.0109543283582092,5.065791906098186,0.6188849823926836,1.2356437352691598,67.0
3,0.0,3,91.99032985074628,14.416601121686854,1.7612681485429695,3.516485317614907,67.0,-0.21965626865671659,7.280341481644829,0.8894352735367086,1.7758148201045088,67.0
3,0.5,1,49.56203043589286,16.73814846582947,2.236729173146063,4.482505431074012,56.0,4.420465866488096,12.6949196167005,1.696429991368887,3.399721674418069,56.0
3,0.5,2,45.08518977607143,12.307337412164657,1.6446371407051847,3.2959264822338024,56.0,-0.05637479333333305,8.997682742793133,1.2023659320864408,2.409595173802423,56.0
3,0.5,3,40.77747349625001,18.465538808218223,2.467561417233236,4.945103585651838,56.0,-4.3640910731547615,14.199905455859392,1.897542183585996,3.80275951408661,56.0
3,0.9,1,37.366767941132075,17.184162013248958,2.360426185125516,4.736541662966065,53.0,9.875861715176102,12.18568155118566,1.6738320899699979,3.358789815548024,53.0
3,0.9,2,24.68123368871698,11.368022565094227,1.5615179905227654,3.133415086728854,53.0,-2.8096725372389946,7.782372723346004,1.068991106137702,2.1450875877705795,53.0
3,0.9,3,20.42471704801887,11.33525902405312,1.557017572048403,3.1243843363758343,53.0,-7.066189177937107,10.119017860126398,1.3899539998738184,2.7891467530295113,53.0
3,1.0,1,35.70602002395349,16.97354540016974,2.5884414070014437,5.2236862422872425,43.0,10.889920490620158,14.95129885401794,2.2800516998532467,4.601330616953928,43.0
3,1.0,2,23.883544844953487,10.571723673630673,1.612172746180029,3.25349632084848,43.0,-0.9325546883798441,9.86297021795032,1.504088857470482,3.0353742026742783,43.0
3,1.0,3,14.858733731093025,10.136616324736899,1.5458194975325186,3.1195900438303763,43.0,-9.957365802240309,9.444339281743423,1.4402482382019304,2.9065386170318153,43.0
5,0.0,1,42.779924230769225,19.774129697391626,3.8780258919736346,7.986943833095181,26.0,1.9271493076923074,18.08175246486724,3.5461234099350962,7.303377875582305,26.0
5,0.0,2,43.95067461538462,17.25150669410512,3.3832988181584067,6.968034351481895,26.0,3.097899692307692,15.205721053587773,2.98208724501895,6.141723648790387,26.0
5,0.0,3,42.205843461538464,18.890894566523617,3.7048092316895325,7.630197443260903,26.0,1.353068538461538,15.34007651332338,3.008436518517011,6.195990993396684,26.0
5,0.0,4,38.44416730769231,23.19510952118546,4.548935233401787,9.368707487168784,26.0,-2.4086076153846165,18.031767328602815,3.5363205181965616,7.283188442118326,26.0
5,0.0,5,36.88326500000001,22.37776344413914,4.388640479701107,9.038574262118141,26.0,-3.969509923076923,21.07776324461588,4.133689464891737,8.513492818054667,26.0
5,0.5,1,34.482315611111105,18.707582938866345,4.409419585227385,9.30306213011546,18.0,2.7913012555555548,15.137895618772182,3.5680362149759794,7.527898388629261,18.0
5,0.5,2,31.000923611111116,18.90634857228649,4.45626909431346,9.401905954199098,18.0,-0.6900907444444443,15.94988940077894,3.759424984822076,7.931693396672885,18.0
5,0.5,3,33.484323888888895,17.86229194240107,4.210182586668542,8.882708806875284,18.0,1.793309533333334,16.46045989129659,3.8797676035283337,8.185594128296586,18.0
5,0.5,4,22.69615316666667,15.663232804451487,3.691859377110411,7.789142424997048,18.0,-8.994861188888889,17.19715837847904,4.053409102187193,8.551945667125347,18.0
5,0.5,5,36.7913555,18.473593936170488,4.354267848384279,9.186702136579319,18.0,5.100341144444444,15.817622685169276,3.7282494209777877,7.865918706426473,18.0
5,0.9,1,36.61849565217391,16.1184438854003,3.3609278822760835,6.970137818220045,23.0,8.332651304347827,11.640782402828156,2.42727092189162,5.03385179341758,23.0
5,0.9,2,31.344647826086963,12.257221074566228,2.5558072703312056,5.300419864693163,23.0,3.0588034782608697,11.042290781186587,2.3024767920869595,4.775044608583177,23.0
5,0.9,3,27.501352173913045,8.732988426226655,1.8209539646618664,3.7764273852052836,23.0,-0.7844921739130437,6.998937430349993,1.4593793373115573,3.0265675035060475,23.0
5,0.9,4,24.799960869565222,11.841374268706357,2.4690972172698284,5.120594220932644,23.0,-3.4858834782608694,9.428500903706134,1.9659783413728844,4.07718953425583,23.0
5,0.9,5,21.164765217391306,11.133268369033283,2.32144693050914,4.814386267751348,23.0,-7.121079130434782,9.370280146448478,1.9538384742873451,4.052012990859196,23.0
5,1.0,1,33.8725,12.861593353350763,2.6253617495734165,5.430974563358095,24.0,7.1130700000000004,12.069228123063178,2.4636208742294605,5.096388070661984,24.0
5,1.0,2,31.60729166666667,13.286375362816852,2.712070014165584,5.610344274792911,24.0,4.847861666666668,12.679035825056863,2.58809735015477,5.3538872799030175,24.0
5,1.0,3,25.570450000000005,11.958835276426198,2.4410870287699673,5.0497732597601965,24.0,-1.1889799999999993,11.456835445373441,2.3386167423497493,4.837797321915193,24.0
5,1.0,4,19.947504166666665,13.628354587833451,2.781876231159176,5.7547494368312675,24.0,-6.8119258333333335,12.651307768011804,2.582437384211505,5.342178748279769,24.0
5,1.0,5,22.799404166666665,10.188131962686404,2.079643728393483,4.302070825701407,24.0,-3.9600258333333325,9.467242126171934,1.93249270670858,3.9976657448119948,24.0
