game_label,n_agents,competition_key,competition_value,run_count,elo_variance_mean,elo_variance_std,utility_gini_mean,utility_gini_std,mean_utility,consensus_rate,elo_variance_sem,utility_gini_sem
game1,2,comp=0.00,0.0,18,2013.7916666666667,2254.995236479252,0.007905439341923174,0.020624480562461578,97.2735,1.0,531.5074744192806,0.004861236688055574
game1,2,comp=0.25,0.25,8,2991.125,5676.900602126883,0.05506493084786132,0.03460270955558545,76.54375,1.0,2007.087455942957,0.012233905287091507
game1,2,comp=0.50,0.5,12,2528.3125,2413.0595491583067,0.0644382706757035,0.0181095786383431,69.411375,1.0,696.5902901385728,0.005227785050879043
game1,2,comp=0.75,0.75,12,2540.7291666666665,3495.064013684698,0.0578323868213701,0.03296268868463835,63.791666666666664,1.0,1008.9380745679172,0.009515508592644892
game1,2,comp=1.00,1.0,14,1243.3392857142858,1665.3882736442447,0.12785714285714286,0.10467374745652995,46.5,1.0,445.0937382805493,0.02797523574085967
game1,4,comp=0.00,0.0,6,5849.375,2754.8673533175784,0.0,0.0,100.0,1.0,1124.6698874466083,0.0
game1,4,comp=0.25,0.25,5,3517.4125,1777.6245564437602,0.09323596299864531,0.024718589520744464,62.335,1.0,794.9778693362318,0.011054489295259713
game1,4,comp=0.50,0.5,7,3822.464285714286,2579.433531779036,0.10808558260249333,0.07075108305076354,48.59285714285714,1.0,974.934235501193,0.02674139582011391
game1,4,comp=0.75,0.75,7,4593.964285714285,1381.45227443178,0.1366421658605048,0.11297232375878168,38.03214285714286,1.0,522.1398808930061,0.042699524814115715
game1,4,comp=1.00,1.0,6,4819.333333333333,2675.947242527712,0.15,0.07937253933193772,24.166666666666668,1.0,1092.450887133427,0.032403703492039304
game1,6,comp=0.00,0.0,5,4150.394444444444,1373.4325118977108,0.03333333333333334,0.074535599249993,96.66666666666666,1.0,614.217691822314,0.03333333333333334
game1,6,comp=0.25,0.25,5,5017.427777777777,1976.6687958267212,0.1233889470704154,0.025146209133959572,52.21333333333333,1.0,883.9931592942402,0.011245726599991943
game1,6,comp=0.50,0.5,3,5835.953703703704,722.5956755254394,0.24734410536113863,0.1632935778577906,34.38888888888889,1.0,417.190807779872,0.09427759113313253
