game_label,competition_key,competition_value,adversary_model,adversary_elo,run_count,adversary_utility_mean,adversary_utility_std,baseline_mean_utility_mean,baseline_mean_utility_std,mean_utility,consensus_rate
game1,comp=0.00,0.0,amazon-nova-micro-v1.0,1240.0,5,69.24,41.5317709711493,95.4,5.079370039680118,87.32000000000001,1.0
game1,comp=0.00,0.0,gpt-4o-mini-2024-07-18,1317.0,2,100.0,0.0,100.0,0.0,100.0,1.0
game1,comp=0.00,0.0,claude-sonnet-4-20250514,1389.0,5,100.0,0.0,100.0,0.0,100.0,1.0
game1,comp=0.00,0.0,gemini-2.5-pro,1448.0,1,100.0,,100.0,,100.0,1.0
game1,comp=0.25,0.25,amazon-nova-micro-v1.0,1240.0,1,97.0,,72.0,,84.5,1.0
game1,comp=0.25,0.25,gpt-4o-mini-2024-07-18,1317.0,3,83.0,15.132745950421556,83.33333333333333,10.214368964029708,83.16666666666667,1.0
game1,comp=0.25,0.25,claude-sonnet-4-20250514,1389.0,1,97.0,,76.0,,86.5,1.0
game1,comp=0.50,0.5,amazon-nova-micro-v1.0,1240.0,2,60.5,27.577164466275352,62.0,7.0710678118654755,61.25,1.0
game1,comp=0.50,0.5,gpt-4o-mini-2024-07-18,1317.0,2,61.0,0.0,78.0,1.4142135623730951,69.5,1.0
game1,comp=0.50,0.5,claude-sonnet-4-20250514,1389.0,4,76.25,15.413738460650398,68.85,6.095626847721788,72.55,1.0
game1,comp=0.75,0.75,amazon-nova-micro-v1.0,1240.0,2,59.5,12.020815280171307,72.0,5.656854249492381,65.75,1.0
game1,comp=0.75,0.75,claude-sonnet-4-20250514,1389.0,3,57.333333333333336,5.773502691896258,72.0,1.7320508075688772,64.66666666666667,1.0
game1,comp=0.75,0.75,gemini-2.5-pro,1448.0,1,77.0,,59.0,,68.0,1.0
game1,comp=0.75,0.75,claude-opus-4-6-thinking,1504.0,3,76.33333333333333,4.041451884327381,51.0,1.0,63.666666666666664,1.0
game1,comp=1.00,1.0,amazon-nova-micro-v1.0,1240.0,4,23.43,22.004687379435016,71.82,20.019896769630623,47.625,1.0
game1,comp=1.00,1.0,claude-sonnet-4-20250514,1389.0,2,33.0075,10.595995116080413,43.9425,4.868430188469383,38.475,1.0
game1,comp=1.00,1.0,gemini-2.5-pro,1448.0,1,62.0,,38.0,,50.0,1.0
game1,comp=1.00,1.0,claude-opus-4-6-thinking,1504.0,4,51.975,6.5117202028342716,45.525,5.186761995696352,48.75,1.0
