game_label,n_agents,run_count,elo_variance_mean,elo_variance_std,elo_std_mean,elo_std_std,utility_gini_mean,utility_gini_std,utility_gini_raw_mean,utility_gini_raw_std,utility_gini_correction_factor_mean,utility_std_mean,utility_std_std,utility_variance_mean,utility_variance_std,utility_range_mean,utility_range_std,payoff_elo_slope_mean,payoff_elo_slope_std,payoff_elo_abs_slope_mean,payoff_elo_abs_slope_std,payoff_elo_r_squared_mean,payoff_elo_correlation_mean,payoff_elo_fit_agent_count_mean,mean_utility,consensus_rate,elo_variance_sem,elo_std_sem,utility_gini_sem,utility_gini_raw_sem,utility_std_sem,utility_variance_sem,utility_range_sem,payoff_elo_slope_sem,payoff_elo_abs_slope_sem
game1,2,98,5706.068877551021,4963.342709067693,65.71938775510205,37.43434571081147,0.12716623479306732,0.1426486598430107,0.06358311739653366,0.07132432992150535,2.0,7.265419308418367,6.848399233699709,99.20831252531657,207.70623207826907,14.530838616836734,13.696798467399418,5.87759855042384,68.26072358349067,27.28677742817848,62.78681797494545,1.0,0.32653061224489793,2.0,68.97032678010204,0.9795918367346939,501.37332670493936,3.7814399573423345,0.014409690671738003,0.0072048453358690015,0.6917927912031171,20.981497885321552,1.3835855824062342,6.89537436208382,6.342426394172763
game1,4,85,5390.871323529412,4081.133431156244,66.33365503838199,31.662466567229895,0.16190644028199558,0.1455731139738643,0.1214298302114967,0.10917983548039822,1.3333333333333333,8.645466458888496,6.389736594797283,115.09248599852943,133.82338987935182,22.174964705882353,16.308976192974995,4.729312719070983,13.316641996627183,9.01256478270424,10.852295402531551,0.4432599830427018,0.21767505625917372,4.0,51.44512941176471,1.0,442.6610718198736,3.434276684048538,0.0157896211302189,0.011842215847664175,0.6930642424249979,14.515184616686156,1.768956836047815,1.4443926224677393,1.1770967050272334
game1,6,60,4511.144444444445,3353.482315882679,61.72919455172483,26.693190608355213,0.1971472996476973,0.171198613475919,0.1642894163730811,0.14266551122993248,1.2,9.300669909364665,7.13572785890382,136.5724293046918,211.20725845756863,27.043965116666666,20.376710966616887,7.981895031425219,15.275899969168853,10.171836864646885,13.889696862939784,0.46697018976225935,0.3351712277618295,6.0,44.001269722222226,1.0,432.9327053738232,3.446076089443332,0.02210164596286783,0.018418038302389857,0.9212185053534268,27.266739820142963,2.6306220741396413,1.9721102059640452,1.7931521544678395
game1,8,17,6369.751838235294,2785.1431887233316,77.43370802154968,19.928208500401677,0.14595777867545243,0.08482333207512588,0.14595777867545243,0.08482333207512588,1.0,8.373152358586184,6.559804334964689,110.60947610294117,134.16788300741482,28.08823529411765,22.26642321840615,4.626799547959736,5.087831921268772,4.637763463359232,5.077214716869402,0.30746837020986195,0.33076447689579025,8.0,39.005147058823525,1.0,675.4964440926988,4.8333005044992845,0.020572679862505085,0.020572679862505085,1.5909862444967073,32.54049136500495,5.400400872599652,1.2339804951047284,1.2314054447995888
game1,10,9,6318.975555555556,2865.5536131440253,77.31392643283691,19.601629447066838,0.1628423218313167,0.11188747860937416,0.1628423218313167,0.11188747860937416,1.0,14.307959797062088,13.078420097678537,356.7577777777778,540.3453936321142,43.0,36.12824379900025,10.83747193479026,11.022964781153838,10.83747193479026,11.022964781153838,0.549038491878634,0.467099908900259,10.0,57.51111111111111,1.0,955.1845377146751,6.533876482355613,0.03729582620312472,0.03729582620312472,4.359473365892845,180.11513121070473,12.042747933000085,3.6743215937179463,3.6743215937179463
game2,2,79,5742.778481012659,5128.268419960016,65.46835443037975,38.41026353324435,0.08022276062127431,0.10279431594787741,0.04011138031063716,0.051397157973938706,2.0,6.035898285443038,6.943132033586014,84.02893431465779,184.18490480490672,12.071796570886075,13.886264067172029,12.051868101785631,64.70017297475664,23.525172346915955,61.42225180849237,1.0,0.569620253164557,2.0,84.90954256772152,1.0,576.9752751998031,4.321492277263329,0.01156526411569239,0.005782632057846195,0.7811633845519524,20.722420792921206,1.5623267691039049,7.279338180171961,6.910543235736636
game2,4,73,5421.17294520548,3955.910297497785,67.35372495799577,29.948880892334703,0.05272401725062786,0.04955078146477389,0.03954301293797089,0.0371630860985804,1.3333333333333333,5.81509959199441,5.005916778105784,58.53130930359589,96.05254736492243,14.818272602739725,12.598105414762223,5.251427903830649,10.442651500617325,7.147742184304018,9.230909026620873,0.41671522071680556,0.35413612438817416,4.0,84.69894178082193,1.0,463.00427942412693,3.5052513768791282,0.0057994803071018996,0.004349610230326422,0.5858982424778588,11.24210033470119,1.474496710241555,1.222219911401646,1.080396182138824
game2,6,70,5581.540476190476,3666.8848864231268,69.7940545151522,26.844460777730525,0.05066710070331313,0.04064353019514468,0.04222258391942761,0.033869608495953885,1.2,6.20819244123388,4.497390165313361,58.47922142503572,77.99508337269077,17.569824285714287,12.317094546427478,4.179211764415976,8.461735019351673,6.000323199663804,7.2659634160784075,0.34882171743388724,0.4317681723201326,6.0,83.57190547619048,1.0,438.276572338882,3.208526752369853,0.004857831007358321,0.004048192506131932,0.5375409392921667,9.322195503446128,1.4721743785766759,1.0113707779735839,0.8684487349273975
game2,8,45,5821.298611111111,3321.3836734033935,72.37500135420802,24.421535091551792,0.0419714845497977,0.03245110313793889,0.0419714845497977,0.03245110313793889,1.0,6.3445573288691435,4.510690142948677,60.14759269687499,74.77482837009413,19.578444444444443,13.63631483902043,3.6682350086499462,6.041494364253707,4.458550207490857,5.470919605294441,0.21867090874692083,0.3600079416061904,8.0,83.89593611111111,1.0,495.12264487252986,3.64054750530709,0.004837524837419206,0.004837524837419206,0.6724139856714324,11.146773282760684,2.032781796175919,0.900612805610211,0.8155565424583124
game2,10,37,5301.197837837838,2792.65493168054,70.05451385823685,20.112066761569462,0.03177367770122015,0.03346550298517012,0.03177367770122015,0.03346550298517012,1.0,4.801981115276046,4.42469740580482,42.1078360581081,83.8143444982049,15.555621621621622,13.467521190609634,3.2483693540206917,4.969783124649938,3.4669591891744114,4.815606574015847,0.1999019730733538,0.3004958096483169,10.0,87.93245135135135,1.0,459.10964266159255,3.3064034082197566,0.005501694800426379,0.005501694800426379,0.727415772646954,13.77899335716723,2.2140468452496638,0.8170273128197041,0.7916808440292264
