config_id,result_path,run_dir,status,started_at,finished_at,duration_seconds,game_label,game_type,experiment_family,n_agents,m_items,n_issues,m_projects,competition_key,competition_value,competition_level,rho,theta,sigma,alpha,random_seed,seed_replicate,heterogeneous_run_index,heterogeneous_draw_seed,adversary_model,adversary_position,model_order,max_tokens_voting,parallel_phases,consensus_reached,final_round,strict_voting_clean,token_limit_marker_count,vote_fallback_log_marker_count,synthetic_vote_marker_count,synthetic_proposal_marker_count,provider_degradation_marker_count,agent_id,agent_index,model,model_short,role,elo,final_utility
29,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_0029_game1_heterogeneous_random_n2_comp_0p0_run07/experiment_results.json,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_0029_game1_heterogeneous_random_n2_comp_0p0_run07,SUCCESS,2026-04-29T11:46:56.040024,2026-04-29T11:47:46.961245,50.921221,game1,item_allocation,heterogeneous_random,2,5,5,5,comp=0.00,0.0,0.0,0.0,0.5,0.5,0.5,1250162347,,7,278911302,,,sampled_random_order,,True,True,1,True,0,0,0,0,1,Agent_1,1,o3-mini-high,o3-mini-high,heterogeneous_random_agent,1363,100.0
29,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_0029_game1_heterogeneous_random_n2_comp_0p0_run07/experiment_results.json,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_0029_game1_heterogeneous_random_n2_comp_0p0_run07,SUCCESS,2026-04-29T11:46:56.040024,2026-04-29T11:47:46.961245,50.921221,game1,item_allocation,heterogeneous_random,2,5,5,5,comp=0.00,0.0,0.0,0.0,0.5,0.5,0.5,1250162347,,7,278911302,,,sampled_random_order,,True,True,1,True,0,0,0,0,1,Agent_2,2,claude-opus-4-5-20251101,Opus 4.5,heterogeneous_random_agent,1468,100.0
30,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_0030_game1_heterogeneous_random_n2_comp_0p0_run08/experiment_results.json,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_0030_game1_heterogeneous_random_n2_comp_0p0_run08,SUCCESS,2026-04-29T11:46:55.996028,2026-04-29T11:48:02.171876,66.175848,game1,item_allocation,heterogeneous_random,2,5,5,5,comp=0.00,0.0,0.0,0.0,0.5,0.5,0.5,1625750770,,8,1158944442,,,sampled_random_order,,True,True,1,True,0,0,0,0,1,Agent_1,1,claude-opus-4-6,Opus 4.6,heterogeneous_random_agent,1499,100.0
30,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_0030_game1_heterogeneous_random_n2_comp_0p0_run08/experiment_results.json,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_0030_game1_heterogeneous_random_n2_comp_0p0_run08,SUCCESS,2026-04-29T11:46:55.996028,2026-04-29T11:48:02.171876,66.175848,game1,item_allocation,heterogeneous_random,2,5,5,5,comp=0.00,0.0,0.0,0.0,0.5,0.5,0.5,1625750770,,8,1158944442,,,sampled_random_order,,True,True,1,True,0,0,0,0,1,Agent_2,2,qwen3-max-preview,Qwen3 Max,heterogeneous_random_agent,1435,100.0
31,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_0031_game1_heterogeneous_random_n2_comp_0p0_run09/experiment_results.json,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_0031_game1_heterogeneous_random_n2_comp_0p0_run09,SUCCESS,2026-04-29T11:46:56.076365,2026-04-29T11:50:12.536757,196.460392,game1,item_allocation,heterogeneous_random,2,5,5,5,comp=0.00,0.0,0.0,0.0,0.5,0.5,0.5,707879583,,9,457752134,,,sampled_random_order,,True,True,1,True,0,0,0,0,1,Agent_1,1,claude-opus-4-5-20251101,Opus 4.5,heterogeneous_random_agent,1468,100.0
31,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_0031_game1_heterogeneous_random_n2_comp_0p0_run09/experiment_results.json,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_0031_game1_heterogeneous_random_n2_comp_0p0_run09,SUCCESS,2026-04-29T11:46:56.076365,2026-04-29T11:50:12.536757,196.460392,game1,item_allocation,heterogeneous_random,2,5,5,5,comp=0.00,0.0,0.0,0.0,0.5,0.5,0.5,707879583,,9,457752134,,,sampled_random_order,,True,True,1,True,0,0,0,0,1,Agent_2,2,deepseek-v3,DeepSeek V3,heterogeneous_random_agent,1358,100.0
32,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_0032_game1_heterogeneous_random_n2_comp_0p0_run10/experiment_results.json,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_0032_game1_heterogeneous_random_n2_comp_0p0_run10,SUCCESS,2026-04-29T11:47:25.865363,2026-04-29T12:02:49.622287,923.756924,game1,item_allocation,heterogeneous_random,2,5,5,5,comp=0.00,0.0,0.0,0.0,0.5,0.5,0.5,618879837,,10,262818168,,,sampled_random_order,,True,True,1,True,0,0,0,0,1,Agent_1,1,claude-opus-4-5-20251101,Opus 4.5,heterogeneous_random_agent,1468,100.0
32,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_0032_game1_heterogeneous_random_n2_comp_0p0_run10/experiment_results.json,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_0032_game1_heterogeneous_random_n2_comp_0p0_run10,SUCCESS,2026-04-29T11:47:25.865363,2026-04-29T12:02:49.622287,923.756924,game1,item_allocation,heterogeneous_random,2,5,5,5,comp=0.00,0.0,0.0,0.0,0.5,0.5,0.5,618879837,,10,262818168,,,sampled_random_order,,True,True,1,True,0,0,0,0,1,Agent_2,2,gpt-5-nano-high,GPT-5-nano,heterogeneous_random_agent,1337,100.0
33,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_0033_game1_heterogeneous_random_n2_comp_0p0_run11/experiment_results.json,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_0033_game1_heterogeneous_random_n2_comp_0p0_run11,SUCCESS,2026-04-29T11:47:26.786716,2026-04-29T11:49:53.823994,147.037278,game1,item_allocation,heterogeneous_random,2,5,5,5,comp=0.00,0.0,0.0,0.0,0.5,0.5,0.5,665617889,,11,296893713,,,sampled_random_order,,True,True,1,True,0,0,0,0,0,Agent_1,1,gemini-2.5-pro,Gemini 2.5 Pro,heterogeneous_random_agent,1448,100.0
33,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_0033_game1_heterogeneous_random_n2_comp_0p0_run11/experiment_results.json,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_0033_game1_heterogeneous_random_n2_comp_0p0_run11,SUCCESS,2026-04-29T11:47:26.786716,2026-04-29T11:49:53.823994,147.037278,game1,item_allocation,heterogeneous_random,2,5,5,5,comp=0.00,0.0,0.0,0.0,0.5,0.5,0.5,665617889,,11,296893713,,,sampled_random_order,,True,True,1,True,0,0,0,0,0,Agent_2,2,llama-3.3-70b-instruct,Llama 3.3 70B,heterogeneous_random_agent,1318,100.0
