game_label,competition_key,competition_value,run_count,elo_variance_mean,elo_variance_std,elo_std_mean,elo_std_std,utility_gini_mean,utility_gini_std,utility_gini_raw_mean,utility_gini_raw_std,utility_gini_correction_factor_mean,utility_std_mean,utility_std_std,utility_variance_mean,utility_variance_std,utility_range_mean,utility_range_std,payoff_elo_slope_mean,payoff_elo_slope_std,payoff_elo_abs_slope_mean,payoff_elo_abs_slope_std,payoff_elo_r_squared_mean,payoff_elo_correlation_mean,payoff_elo_fit_agent_count_mean,mean_utility,consensus_rate,elo_variance_sem,elo_std_sem,utility_gini_sem,utility_gini_raw_sem,utility_std_sem,utility_variance_sem,utility_range_sem,payoff_elo_slope_sem,payoff_elo_abs_slope_sem
game1,comp=0.00,0.0,48,5595.091021412037,4044.2920953876396,68.78346125009733,29.703668028270197,0.02837313449360081,0.14683405492469936,0.02425601169124485,0.1234862970200077,1.5277777777777777,2.35974582552076,8.80051457823104,81.40393518518518,325.54780800082216,6.5,24.42792263487256,1.2996681493283273,5.713428704944074,1.2996681493283448,5.713428704944069,0.9520520969913403,0.06547724746124177,4.291666666666667,97.30555555555556,1.0,583.7432824883824,4.28735518301027,0.02119367028424487,0.017823711706432883,1.2702448651872291,46.98877864584182,3.5258669272467564,0.8246624001987991,0.8246624001987983
game1,comp=0.25,0.25,58,5352.364518678161,4495.213270866324,64.82880940188394,34.20172854776037,0.1386947601112655,0.07326639140965673,0.10293003621025752,0.06478545417090026,1.4988505747126437,11.252344904793626,5.415475277502838,155.43699398455462,132.81455844604193,30.02955172413793,17.289676921248045,6.792116674124663,29.42564873584738,17.813499385156238,24.288334842857584,0.5644575399559043,0.30730721169555386,4.206896551724138,63.537961206896554,1.0,590.2504195411427,4.490906973242953,0.009620348504506243,0.008506746888377947,0.7110867409289138,17.439405901388902,2.270245801826151,3.8637769700873235,3.189214608318139
game1,comp=0.50,0.5,58,5450.65034243295,4238.312984386131,66.59159822465075,32.15645538927511,0.15231815175636165,0.086127847740676,0.1132550094349354,0.07928881845269498,1.493103448275862,9.71480593733085,4.636057436180093,115.49991349377396,112.41885918805939,25.16465517241379,13.66912903134282,10.05328469061846,24.572965636676496,15.494719979381362,21.502881597403686,0.560337291915536,0.3251262814793132,4.344827586206897,51.89409482758621,1.0,556.5177593227878,4.222349450578515,0.01130914045671348,0.010411131916685523,0.6087441644775988,14.761319386143523,1.7948445734049003,3.2265884625365318,2.8234666787600506
game1,comp=0.75,0.75,53,5285.625728511531,4264.088222747898,64.86894806429196,33.141654360144074,0.16546629312895703,0.09858241486560444,0.12183436441357198,0.08639365192681323,1.530817610062893,7.922533530680359,4.0820121254980055,79.11496765081237,70.69665461148813,19.997698113207544,11.383289271466353,1.566735641710082,29.21865017339781,14.836841293041182,25.136949277727663,0.6188060399110011,0.3015879591037918,4.037735849056604,40.766501572327044,0.9811320754716981,585.7175630036144,4.552356333101919,0.013541336101363051,0.011867080750253809,0.5607074876037929,9.710932346719696,1.5636150339196797,4.013490265637383,3.452825528738263
game1,comp=1.00,1.0,52,5345.512419871795,4032.327339022364,66.01474415147456,31.732160550498044,0.2882628205128205,0.19426370221425548,0.1960897435897436,0.1332438975436125,1.5256410256410255,10.130275739762517,8.447775760117002,172.6149996396641,285.8342650170179,23.517117143269232,17.90474644434245,9.82016233351953,82.73390236966824,27.81246634265885,78.45077743465006,0.579428800873647,0.4736795465439893,3.9615384615384617,27.42963861121795,0.9807692307692307,559.1831915500153,4.400458921002935,0.02693952843442175,0.018477604028314044,1.171495717950909,39.638080723208496,2.482941591509933,11.473127969733481,10.879165409255542
game2,"rho=-0.106, theta=0.20",-0.02123159024480273,9,5119.219999999999,3038.715737466241,68.70140707804632,21.195606825086177,0.07616010016196004,0.04132999169456046,0.07616010016196004,0.04132999169456046,1.0,10.78196557709977,5.346863294705134,141.66317912111109,128.4395985976227,34.47288888888889,14.685227274751687,8.98002339929101,7.122094618079684,9.024222785076825,7.058964729203088,0.3051932395020447,0.4845340176087158,10.0,78.15190000000001,1.0,1012.9052458220804,7.065202275028725,0.01377666389818682,0.01377666389818682,1.7822877649017113,42.8131995325409,4.895075758250562,2.3740315393598945,2.352988243067696
game2,"rho=-0.106, theta=0.80",-0.08492636097921091,2,7754.049999999999,3306.0918975733266,87.02672470171697,18.994693347962457,0.05109530676319362,0.0018693114879998463,0.05109530676319362,0.0018693114879998463,1.0,6.461265226860329,0.30335671466291303,41.79396097999999,3.9201363835721437,20.445500000000003,3.1473322830613286,4.291028600204244,0.02802564721221418,4.291028600204244,0.02802564721221418,0.35115943913077186,0.5820616446672311,10.0,69.7521,1.0,2337.7599999999998,13.431276472903258,0.0013218028293146067,0.0013218028293146067,0.21450559005661837,2.771955019999971,2.225500000000004,0.019817125190898507,0.019817125190898507
game2,"rho=-0.137, theta=0.20",-0.02730695838768222,14,5384.391741071428,3312.338147683562,69.21683753094801,25.27981256929188,0.0786535185358938,0.026090734234188947,0.0786535185358938,0.026090734234188947,1.0,11.717073733726282,3.378630886853171,147.88959593191962,72.84540882923358,35.878,9.71809610192006,7.620112749951793,8.815490187911248,8.903929622364902,7.407238937056429,0.2533976102605528,0.3953175659970601,8.0,77.4753125,1.0,885.2596069838082,6.756314102582264,0.006973042033836345,0.006973042033836345,0.9029770867840543,19.46875443131925,2.5972704332234455,2.3560388556879515,1.9796678774597676
game2,"rho=-0.137, theta=0.80",-0.10922783355072888,6,5673.067708333333,3835.7136021300003,70.34644047901337,29.48449125081109,0.05389566774225903,0.022002707009309147,0.05389566774225903,0.022002707009309147,1.0,6.869144118404912,2.634668824624803,52.96970743229167,40.59489620663685,21.10483333333333,7.320843787888576,3.688755695357218,6.651363749812799,6.191950688769604,3.8158404093692018,0.2870450737183308,0.3673469015843667,8.0,68.88362500000001,1.0,1565.9235207785587,12.036993148340354,0.008982567522127716,0.008982567522127716,1.0755990435915113,16.572796977917452,2.9887219611585025,2.715407880114385,1.557810323807904
game2,"rho=-0.191, theta=0.20",-0.03826113651511191,17,5647.666666666666,3688.322084288966,70.55204436916016,26.682493012716105,0.09559118581634063,0.04020656367962949,0.0796593215136172,0.033505469733024575,1.2,11.391191593529026,4.413016271487935,148.08838720276142,101.32768316987598,31.21698235294118,11.379046524436667,4.758902127581086,14.513099991875283,10.784580405214145,10.541171412679791,0.3837480200242496,0.3694455999470695,6.0,75.77711078431373,1.0,894.5495020483347,6.471455120366688,0.009751524052602063,0.008126270043835052,1.070313659700834,24.57557297108939,2.7598241611217595,3.519943777744271,2.5566095971894183
