game_label,n_agents,competition_key,competition_value,run_count,elo_variance_mean,elo_variance_std,elo_std_mean,elo_std_std,utility_gini_mean,utility_gini_std,utility_gini_raw_mean,utility_gini_raw_std,utility_gini_correction_factor_mean,utility_std_mean,utility_std_std,utility_variance_mean,utility_variance_std,utility_range_mean,utility_range_std,payoff_elo_slope_mean,payoff_elo_slope_std,payoff_elo_abs_slope_mean,payoff_elo_abs_slope_std,payoff_elo_r_squared_mean,payoff_elo_correlation_mean,payoff_elo_fit_agent_count_mean,mean_utility,consensus_rate,elo_variance_sem,elo_std_sem,utility_gini_sem,utility_gini_raw_sem,utility_std_sem,utility_variance_sem,utility_range_sem,payoff_elo_slope_sem,payoff_elo_abs_slope_sem
game1,2,comp=0.00,0.0,19,5776.434210526316,4895.90400647012,67.5,35.8883298890074,0.0032584450364652163,0.009919682833049913,0.0016292225182326081,0.0049598414165249564,2.0,0.3157894736842105,0.9604762463918829,0.9736842105263158,3.0832147914623786,0.631578947368421,1.9209524927837658,0.2872334118204951,0.8861568102657744,0.28723341182052775,0.8861568102657633,1.0,0.10526315789473684,2.0,99.15789473684211,1.0,1123.1974106041662,8.23334753887545,0.002275731316907359,0.0011378656584536794,0.2203483629312363,0.7073379840639126,0.4406967258624726,0.2032983149515188,0.20329831495151623
game1,2,comp=0.25,0.25,20,5776.0375,5620.881967034668,64.375,41.44618419360854,0.10430038185918056,0.06522190467408617,0.05215019092959028,0.032610952337043086,2.0,7.485525,3.891360773610529,70.41863876250001,59.47339427082413,14.97105,7.782721547221058,8.351580126481592,42.52415584305531,25.744483272347896,34.41020519226472,1.0,0.5,2.0,76.075825,1.0,1256.867417179225,9.2676485264886,0.014584061247326795,0.0072920306236633975,0.8701347214769313,13.298655244220928,1.7402694429538625,9.508690315086655,7.694355792962013
game1,2,comp=0.50,0.5,20,5752.5,5174.078842501441,66.1,38.158809426423474,0.11834068778819484,0.03959435335188245,0.05917034389409742,0.019797176675941226,2.0,8.36125,2.8402473368019425,77.57415625,45.53494841582344,16.7225,5.680494673603885,14.566764216916539,38.037357972891385,25.39203130348972,31.488242375675604,1.0,0.3,2.0,70.80975,1.0,1156.959201277665,8.532569181794264,0.00885356656199558,0.00442678328099779,0.6350986118001883,10.181924000972758,1.2701972236003767,8.505411811187873,7.040985044400012
game1,2,comp=0.75,0.75,20,5446.25,4822.974985475907,64.0,37.70034203390845,0.10437795805401247,0.059320839874467096,0.052188979027006234,0.029660419937233548,2.0,6.3885000000000005,3.78913130580501,54.45257250000001,47.66232852934557,12.777000000000001,7.57826261161002,-9.156901335628701,43.48471254531803,22.015628356705328,38.32733206447303,1.0,0.2,2.0,57.4615,0.95,1078.4499921305187,8.430052756281198,0.013264543044168851,0.0066322715220844255,0.8472755175452545,10.657620655754428,1.694551035090509,9.723477323336901,8.570251989236905
game1,2,comp=1.00,1.0,19,5786.671052631579,4746.360979632355,66.76315789473684,37.45937370488958,0.308421052631579,0.21810454062965962,0.1542105263157895,0.10905227031482981,2.0,13.752925906578946,10.701222226108015,297.63196195952764,410.7859782891253,27.505851813157893,21.40244445221603,15.543071734818852,138.57663962333558,63.45283655189696,123.32294968097477,1.0,0.5263157894736842,2.0,41.48160655,0.9473684210526315,1088.8898873569551,8.593769708838867,0.05003661324905511,0.025018306624527555,2.4550287503145367,94.24076667293632,4.910057500629073,31.791661476503897,28.292225004143187
game1,4,comp=0.00,0.0,13,6565.764423076923,3611.600611995865,77.60625135067063,24.254628882708335,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,2.5959464450411124e-15,7.981541867070513e-15,6.642319583466533e-15,4.817511437156763e-15,1.0,0.0,4.0,100.0,1.0,1001.677784080632,6.727023700304212,0.0,0.0,0.0,0.0,0.0,2.2136814199219476e-15,1.3361372697540712e-15
game1,4,comp=0.25,0.25,19,4959.3026315789475,4161.8154169526015,62.791795574514566,32.756142563935065,0.13706306262892537,0.07585495321577981,0.10279729697169404,0.05689121491183485,1.3333333333333333,11.703375298015326,5.05649519171898,161.19144522039474,113.94293792250612,29.936473684210526,12.90415474165167,-1.4062204316829814,15.280528020804267,11.422863478548756,9.891969048756426,0.34652845041040115,0.007203135531286591,4.0,62.101855263157894,1.0,954.785938113999,7.514774485073906,0.017402319759715252,0.013051739819786438,1.1600395552211766,26.1403027228596,2.960416130035307,3.5055935498224935,2.269373338745338
game1,4,comp=0.50,0.5,18,5441.715277777777,4173.107504336449,66.48177666084835,32.89376455867606,0.1427186589422469,0.09477019925415847,0.10703899420668517,0.07107764944061885,1.3333333333333333,9.792510586419517,5.701131881774264,126.5904513888889,143.97097277660836,25.105555555555554,14.046539126699804,7.692857681940271,16.509089264327425,11.45572738210237,14.009209433221594,0.38000183338887594,0.34190055543015146,4.0,49.143055555555556,1.0,983.610871645591,7.753134659397856,0.022337550182338583,0.016753162636753936,1.343769671347135,33.93428371478787,3.310801022897199,3.891229656673318,3.3020023297645134
game1,4,comp=0.75,0.75,16,5514.1171875,4520.472629285836,66.00817761770337,35.13080585605324,0.19389041914955824,0.10855088877729616,0.1454178143621687,0.08141316658297211,1.3333333333333333,9.488480080599508,4.871521376658165,112.27974223046876,98.68766570022547,24.8886875,13.428424959608378,9.354510617213132,14.360712127453164,11.347636541980222,12.736454276059723,0.311436849963295,0.2663353246662137,4.0,35.348484375,1.0,1130.118157321459,8.78270146401331,0.02713772219432404,0.020353291645743028,1.2178803441645412,24.671916425056367,3.3571062399020946,3.590178031863291,3.1841135690149307
game1,4,comp=1.00,1.0,19,4866.611842105263,4090.711088697022,62.29644594786578,32.25723745062502,0.2887719298245614,0.19232242258774584,0.21657894736842107,0.1442418169408094,1.3333333333333333,9.706297184109868,6.89237886082671,139.21683421052632,174.17032166118636,24.52421052631579,17.27533962225714,7.3982190090881685,8.578225758473867,8.487806467784619,7.43741353079773,0.33000186317997593,0.4184181586596409,4.0,23.30263157894737,1.0,938.4734864658719,7.400317802372107,0.044121789717732014,0.03309134228829901,1.581220154470506,39.95741216237287,3.9632347173033144,1.9679799576876382,1.7062596832668069
