n,k,mean_elo_variance,std_of_elo_variance,min_elo_variance,p05_elo_variance,median_elo_variance,p95_elo_variance,max_elo_variance,mean_elo_stddev,std_of_elo_stddev,min_elo_stddev,p05_elo_stddev,median_elo_stddev,p95_elo_stddev,max_elo_stddev
2,1000,3276.589500,3800.119517,0.250000,12.250000,1806.250000,11449.000000,17424.000000,46.729000,33.060400,0.500000,3.500000,42.500000,107.000000,132.000000
4,1000,4961.567000,2758.976948,68.500000,925.409375,4692.093750,10038.709375,13665.687500,67.260579,20.918449,8.276473,30.420512,68.498858,100.193336,116.900331
6,1000,5575.203750,2203.755034,436.138889,2195.423611,5489.236111,9474.101389,13682.333333,73.050979,15.451801,20.883939,46.855347,74.089373,97.334992,116.971507
8,1000,5745.556312,1731.687323,1019.437500,2971.671875,5711.429688,8678.952344,11410.500000,74.878816,11.777915,31.928631,54.513017,75.574000,93.160893,106.819942
10,1000,5904.370060,1458.122092,2170.010000,3532.475500,5904.705000,8504.734000,10083.490000,76.233792,9.632185,46.583366,59.434631,76.842078,92.221114,100.416582
