n,k,mean_elo_variance,std_of_elo_variance,min_elo_variance,p05_elo_variance,median_elo_variance,p95_elo_variance,max_elo_variance,mean_elo_stddev,std_of_elo_stddev,min_elo_stddev,p05_elo_stddev,median_elo_stddev,p95_elo_stddev,max_elo_stddev
2,100,3715.485000,4019.338811,0.250000,12.250000,2256.250000,11881.000000,16770.250000,50.600000,33.987130,0.500000,3.500000,47.500000,109.000000,129.500000
4,100,4372.188125,2488.591750,629.000000,1053.246875,3947.375000,8946.096875,10495.250000,63.261649,19.239333,25.079872,32.452612,62.825217,94.582050,102.446327
6,100,5192.013611,2329.118367,367.805556,1978.765278,4795.847222,9357.988889,10985.888889,70.070319,16.797737,19.178257,44.483235,69.252052,96.736564,104.813591
8,100,6020.084063,1817.477415,1697.609375,3576.472656,6123.773438,8835.774219,10355.187500,76.652593,12.019321,41.202055,59.803617,78.254512,93.998734,101.760442
10,100,5922.707300,1382.107638,2671.760000,3694.885500,5923.630000,8289.429500,10636.840000,76.429746,9.011172,51.689070,60.785537,76.965120,91.046185,103.135057
