game,eligible_runs,proposed_literal_zero_runs,proposed_literal_zero_pct_eligible,accepted_literal_zero_runs,accepted_literal_zero_pct_eligible,accepted_pct_literal_zero_proposed
game1,940,26,2.766,14,1.489,53.846
game2,752,0,0.000,0,0.000,
game3,752,0,0.000,0,0.000,
