game,game_label,eligible_runs_n_ge_4,coalition_proposed_runs,coalition_proposed_pct_eligible,coalition_accepted_selected_runs,accepted_pct_proposed
game1,Game 1,940,45,4.787,30,66.667
game2,Game 2,752,6,0.798,2,33.333
game3,Game 3,752,2,0.266,1,50.0
