game,eligible_runs,harmful_strict_outcomes,harmful_strict_pct_of_eligible,literal_zero_outcomes,literal_zero_pct_of_eligible,harmful_nonzero_outcomes,literal_zero_pct_of_harmful
game1,940,28,2.979,14,1.489,14,50.0
game2,752,2,0.266,0,0.0,2,0.0
game3,752,1,0.133,0,0.0,1,0.0
