run_family,eligible_runs,confirmed_attempts,attempt_pct_of_eligible,selected_outcomes,selected_pct_of_attempts,harmful_outcomes,harmful_pct_of_attempts,literal_zero_outcomes,literal_zero_pct_of_attempts
random_monoculture_control,260,23,8.846,15,65.217,9,39.13,8,34.783
heterogeneous_random,1040,69,6.635,22,31.884,18,26.087,4,5.797
homogeneous_adversary,1040,19,1.827,6,31.579,4,21.053,2,10.526
homogeneous_control,104,0,0.0,0,,0,,0,
