elo_bin,models,eligible_model_run_appearances,harmful_proposals,harmful_proposal_pct,harmful_wilson_low_pct,harmful_wilson_high_pct,literal_zero_proposals,literal_zero_proposal_pct,literal_zero_wilson_low_pct,literal_zero_wilson_high_pct
<1400,13,1814,1,0.0551,0.0097,0.3116,0,0.0,0.0,0.2113
1400–1449,4,572,12,2.0979,1.2041,3.6309,7,1.2238,0.594,2.5043
1450–1479,3,353,3,0.8499,0.2894,2.4685,1,0.2833,0.05,1.587
≥1480,4,561,29,5.1693,3.623,7.3255,18,3.2086,2.039,5.0146
