winning_proposer_elo_bucket,harmful_strict_outcomes,eligible_model_run_appearances,harmful_outcomes_per_100_appearances
<1400,4,1737,0.23
1400–1449,4,854,0.468
1450–1479,8,914,0.875
≥1480,15,1451,1.034
