elo_bin,elo_bin_lower,elo_bin_upper_inclusive,models,eligible_model_run_appearances,harmful_proposals,harmful_proposal_pct,harmful_wilson_low_pct,harmful_wilson_high_pct,literal_zero_proposals,literal_zero_proposal_pct,literal_zero_wilson_low_pct,literal_zero_wilson_high_pct
1200–1299,1200,1299,4,550,0,0.0,0.0,0.6936,0,0.0,0.0,0.6936
1300–1399,1300,1399,9,1264,1,0.0791,0.014,0.4468,0,0.0,0.0,0.303
1400–1499,1400,1499,10,1370,41,2.9927,2.2136,4.0347,24,1.7518,1.18,2.5935
1500–1599,1500,1599,1,116,3,2.5862,0.8834,7.3288,2,1.7241,0.4741,6.0692
