game,eligible_runs,proposed_runs,proposed_pct_eligible,accepted_runs,accepted_pct_eligible,accepted_pct_proposed
game1,940,45,4.787,30,3.191,66.667
game2,752,6,0.798,2,0.266,33.333
game3,752,1,0.133,1,0.133,100.000
