game,eligible_runs,confirmed_attempts,attempt_pct_of_eligible,selected_outcomes,selected_pct_of_attempts,harmful_outcomes,harmful_pct_of_attempts,literal_zero_outcomes,literal_zero_pct_of_attempts
game1,940,49,5.213,30,61.224,28,57.143,14,28.571
game2,752,41,5.452,11,26.829,2,4.878,0,0.0
game3,752,21,2.793,2,9.524,1,4.762,0,0.0
