run_family,average_roster_elo_bucket,eligible_fully_elo_tagged_runs,harmful_strict_outcomes,harmful_strict_pct
heterogeneous_random,<1350,162,0,0.0
heterogeneous_random,1350–1399,534,14,2.622
heterogeneous_random,1400–1449,268,3,1.119
heterogeneous_random,≥1450,76,1,1.316
random_monoculture_control,<1350,88,0,0.0
random_monoculture_control,1350–1399,32,0,0.0
random_monoculture_control,1400–1449,36,0,0.0
random_monoculture_control,≥1450,104,9,8.654
