initiator_model_elo_bucket,models_in_bucket,confirmed_attempts,eligible_model_run_appearances,attempts_per_100_run_appearances
<1400,13,5,4694,0.107
1400–1449,4,33,1521,2.17
1450–1479,3,14,914,1.532
≥1480,4,57,1451,3.928
