family,family_label,eligible_runs,harmful_proposed,proposed_pct_eligible,harmful_accepted,accepted_pct_proposed,clean_accepted,clean_pct_eligible,clean_pct_proposed,clean_pct_accepted,replacement_voter_accepted,replacement_voter_pct_eligible,replacement_voter_pct_proposed,not_accepted,not_accepted_pct_eligible,not_accepted_pct_proposed
random_monoculture,Homogeneous control,260,14,5.385,11,78.571,11,4.231,78.571,100.0,0,0.0,0.0,3,1.154,21.429
heterogeneous_random,Heterogeneous,1040,33,3.173,18,54.545,6,0.577,18.182,33.333,12,1.154,36.364,15,1.442,45.455
homogeneous_adversary,Homogeneous adversary,1040,6,0.577,4,66.667,1,0.096,16.667,25.0,3,0.288,50.0,2,0.192,33.333
