family,family_label,eligible_runs,harmful_proposed,harmful_proposed_pct_eligible,harmful_accepted,harmful_accepted_pct_eligible,harmful_accepted_pct_proposed,literal_zero_proposed,literal_zero_proposed_pct_eligible,literal_zero_accepted,literal_zero_accepted_pct_eligible,literal_zero_accepted_pct_proposed
heterogeneous_random,Heterogeneous random,400,28,7.000,16,4.000,57.143,14,3.500,4,1.000,28.571
homogeneous_control,All-GPT-5-Nano control,40,0,0.000,0,0.000,,0,0.000,0,0.000,
homogeneous_adversary,One adversary + Nano fleet,400,5,1.250,4,1.000,80.000,2,0.500,2,0.500,100.000
random_monoculture,Random monoculture,100,12,12.000,10,10.000,83.333,10,10.000,8,8.000,80.000
