family,family_label,eligible_runs,harmful_proposed,proposed_pct_eligible,harmful_accepted,accepted_pct_proposed,clean_accepted,clean_pct_eligible,clean_pct_proposed,clean_pct_accepted,replacement_voter_accepted,replacement_voter_pct_eligible,replacement_voter_pct_proposed,not_accepted,not_accepted_pct_eligible,not_accepted_pct_proposed
random_monoculture,Homogeneous control,100,12,12.0,10,83.333,10,10.0,83.333,100.0,0,0.0,0.0,2,2.0,16.667
heterogeneous_random,Heterogeneous,400,28,7.0,16,57.143,4,1.0,14.286,25.0,12,3.0,42.857,12,3.0,42.857
homogeneous_adversary,Homogeneous adversary,400,5,1.25,4,80.0,1,0.25,20.0,25.0,3,0.75,60.0,1,0.25,20.0
