run_family,eligible_runs,harmful_strict_outcomes,harmful_strict_pct_of_eligible,literal_zero_outcomes,literal_zero_pct_of_eligible,harmful_nonzero_outcomes,literal_zero_pct_of_harmful
random_monoculture_control,260,9,3.462,8,3.077,1,88.889
heterogeneous_random,1040,18,1.731,4,0.385,14,22.222
homogeneous_adversary,1040,4,0.385,2,0.192,2,50.0
homogeneous_control,104,0,0.0,0,0.0,0,
