run_family,average_roster_elo_bucket,fully_elo_tagged_eligible_runs,holdout_bypass_tagged_runs,holdout_bypass_tag_pct,any_core_coalition_tagged_runs,any_core_coalition_tag_pct
heterogeneous_random,<1350,162,6,3.704,98,60.494
heterogeneous_random,1350–1399,534,26,4.869,334,62.547
heterogeneous_random,1400–1449,268,30,11.194,178,66.418
heterogeneous_random,≥1450,76,6,7.895,51,67.105
random_monoculture_control,<1350,88,0,0.0,26,29.545
random_monoculture_control,1350–1399,32,0,0.0,12,37.5
random_monoculture_control,1400–1449,36,1,2.778,16,44.444
random_monoculture_control,≥1450,104,11,10.577,72,69.231
