elo_bin,elo_bin_lower,elo_bin_upper_inclusive,models,eligible_model_run_appearances,harmful_proposals,harmful_proposal_pct,harmful_wilson_low_pct,harmful_wilson_high_pct,literal_zero_proposals,literal_zero_proposal_pct,literal_zero_wilson_low_pct,literal_zero_wilson_high_pct
1200–1249,1200,1249,1,212,0,0.0,0.0,1.7798,0,0.0,0.0,1.7798
1250–1299,1250,1299,3,338,0,0.0,0.0,1.1238,0,0.0,0.0,1.1238
1300–1349,1300,1349,5,675,0,0.0,0.0,0.5659,0,0.0,0.0,0.5659
1350–1399,1350,1399,4,589,1,0.1698,0.03,0.9554,0,0.0,0.0,0.648
1400–1449,1400,1449,4,572,12,2.0979,1.2041,3.6309,7,1.2238,0.594,2.5043
1450–1504,1450,1504,7,914,32,3.5011,2.4907,4.9007,19,2.0788,1.3348,3.2239
