experiment_group,phase,structured_calls,samples,prompt_says_only_json_calls,prompt_has_strict_json_requirements_calls,prompt_bans_markdown_fences_calls,prompt_bans_json_comments_calls,prompt_bans_prose_outside_json_calls,prompt_bans_literal_newlines_in_strings_calls,prompt_says_only_json_pct,prompt_has_strict_json_requirements_pct,prompt_bans_markdown_fences_pct,prompt_bans_json_comments_pct,prompt_bans_prose_outside_json_pct,prompt_bans_literal_newlines_in_strings_pct
heterogeneous,private_thinking,7105,823,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
heterogeneous,proposal,8089,817,7862,0,0,0,521,0,97.19371986648535,0.0,0.0,0.0,6.4408455927803185,0.0
heterogeneous,voting,29420,627,29420,0,0,0,0,0,100.0,0.0,0.0,0.0,0.0,0.0
homogeneous,private_thinking,12671,985,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
homogeneous,proposal,13007,984,13007,0,0,0,115,0,100.0,0.0,0.0,0.0,0.8841393096025216,0.0
homogeneous,voting,52311,949,52311,0,0,0,38,0,100.0,0.0,0.0,0.0,0.07264246525587353,0.0
