game_label,n_agents,competition_key,competition_value,adversary_model,adversary_elo,run_count,adversary_utility_mean,adversary_utility_std,baseline_mean_utility_mean,baseline_mean_utility_std,mean_utility,consensus_rate
game1,2,comp=0.00,0.0,amazon-nova-micro-v1.0,1240.0,4,86.55,17.386105563543165,94.25,5.05799696849784,90.4,1.0
game1,2,comp=0.00,0.0,gpt-4o-mini-2024-07-18,1317.0,4,97.5,4.999999999999999,90.0,14.142135623730951,93.75,1.0
game1,2,comp=0.00,0.0,claude-sonnet-4-20250514,1389.0,4,100.0,0.0,100.0,0.0,100.0,1.0
game1,2,comp=0.00,0.0,gemini-2.5-pro,1448.0,4,97.5,4.999999999999999,97.5,4.999999999999999,97.5,1.0
game1,2,comp=0.25,0.25,amazon-nova-micro-v1.0,1240.0,4,82.45,11.378781422747629,65.725,13.632161726348958,74.0875,1.0
game1,2,comp=0.25,0.25,gpt-4o-mini-2024-07-18,1317.0,4,75.372,19.63191795690545,78.9025,12.169005368832185,77.13725,1.0
game1,2,comp=0.25,0.25,claude-sonnet-4-20250514,1389.0,4,81.875,11.862932464895291,82.9,14.082139988888994,82.3875,1.0
game1,2,comp=0.25,0.25,gemini-2.5-pro,1448.0,4,77.05,8.02558409089332,82.3,8.435638683585253,79.675,1.0
game1,2,comp=0.50,0.5,amazon-nova-micro-v1.0,1240.0,4,66.475,20.7565853004133,57.775,17.715600469642567,62.125,1.0
game1,2,comp=0.50,0.5,gpt-4o-mini-2024-07-18,1317.0,4,61.878820000000005,16.558940939452214,60.55731375,23.127158302100646,61.218066875000005,1.0
game1,2,comp=0.50,0.5,claude-sonnet-4-20250514,1389.0,4,76.25,15.413738460650398,68.85,6.095626847721788,72.55,1.0
game1,2,comp=0.50,0.5,gemini-2.5-pro,1448.0,4,68.475,16.24507617710671,67.3,11.961605243444545,67.8875,1.0
game1,2,comp=0.75,0.75,amazon-nova-micro-v1.0,1240.0,4,59.625,10.87332362558324,64.15,12.788927502596406,61.8875,1.0
game1,2,comp=0.75,0.75,gpt-4o-mini-2024-07-18,1317.0,4,45.164775000000006,10.05114942029849,52.5067,23.55716624072881,48.8357375,1.0
game1,2,comp=0.75,0.75,claude-sonnet-4-20250514,1389.0,4,53.3275,9.295645485925116,70.2,3.867815921162738,61.76375,1.0
