game_label,competition_key,competition_value,model,model_short,elo,agent_run_count,final_utility_mean,final_utility_std
game1,comp=0.00,0.0,amazon-nova-micro-v1.0,Nova Micro,1240,3,64.66666666666667,56.08327142146162
game1,comp=0.00,0.0,claude-3-haiku-20240307,Claude 3 Haiku,1260,6,95.48333333333333,11.063528671570685
game1,comp=0.00,0.0,command-r-plus-08-2024,Command R+,1276,5,100.0,0.0
game1,comp=0.00,0.0,amazon-nova-pro-v1.0,Nova Pro,1290,6,100.0,0.0
game1,comp=0.00,0.0,gpt-4o-mini-2024-07-18,GPT-4o mini,1317,5,100.0,0.0
game1,comp=0.00,0.0,llama-3.3-70b-instruct,Llama 3.3 70B,1318,8,100.0,0.0
game1,comp=0.00,0.0,gpt-4.1-nano-2025-04-14,GPT-4.1 nano,1322,8,84.0,34.59149358688388
game1,comp=0.00,0.0,gpt-5-nano-high,GPT-5-nano,1337,9,100.0,0.0
game1,comp=0.00,0.0,gpt-4o-2024-05-13,GPT-4o,1345,10,100.0,0.0
game1,comp=0.00,0.0,deepseek-v3,DeepSeek V3,1358,9,100.0,0.0
game1,comp=0.00,0.0,o3-mini-high,o3-mini-high,1363,12,100.0,0.0
game1,comp=0.00,0.0,gemma-3-27b-it,Gemma 3 27B,1365,13,92.45738461538461,16.445331929043274
game1,comp=0.00,0.0,claude-sonnet-4-20250514,Sonnet 4,1389,7,100.0,0.0
game1,comp=0.00,0.0,claude-haiku-4-5-20251001,Haiku 4.5,1407,5,100.0,0.0
game1,comp=0.00,0.0,deepseek-r1-0528,DeepSeek R1-0528,1422,9,98.88888888888889,3.3333333333333344
game1,comp=0.00,0.0,qwen3-max-preview,Qwen3 Max,1435,8,100.0,0.0
game1,comp=0.00,0.0,gemini-2.5-pro,Gemini 2.5 Pro,1448,3,100.0,0.0
game1,comp=0.00,0.0,claude-opus-4-5-20251101,Opus 4.5,1468,12,100.0,0.0
game1,comp=0.00,0.0,claude-opus-4-5-20251101-thinking-32k,Opus 4.5 Thinking,1474,8,100.0,0.0
game1,comp=0.00,0.0,gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,1478,5,100.0,0.0
game1,comp=0.00,0.0,gpt-5.4-high,GPT-5.4 High,1484,4,97.5,5.000000000000001
game1,comp=0.00,0.0,claude-opus-4-6,Opus 4.6,1499,12,99.41666666666667,2.0207259421636907
