game_label,n_agents,competition_key,competition_value,run_count,elo_variance_mean,elo_variance_std,utility_gini_mean,utility_gini_std,mean_utility,consensus_rate,elo_variance_sem,utility_gini_sem
game1,2,comp=0.00,0.0,20,2222.2375,2228.283828176849,0.013035948039309802,0.03160698684927234,96.34615,1.0,498.25941129668956,0.007067537115891484
game1,2,comp=0.25,0.25,15,2711.75,4378.314765694674,0.05571043349536415,0.05158291878537721,63.083823333333335,0.8666666666666667,1130.4760114659666,0.013318652360302377
game1,2,comp=0.50,0.5,14,2207.714285714286,2366.903078142128,0.07193315446280382,0.0276929503251533,66.45917282142857,1.0,632.5814561506052,0.007401252296119548
game1,2,comp=0.75,0.75,18,2546.1805555555557,3031.9676194888834,0.052531370847258695,0.03693507847472223,55.71388888888889,0.8888888888888888,714.6416213595412,0.008705681484377791
game1,2,comp=1.00,1.0,18,1634.8055555555557,2051.7569507539924,0.11055555555555557,0.09961527299756343,43.46944444444445,0.9444444444444444,483.6037510749271,0.023479545015442093
game1,4,comp=0.00,0.0,17,5090.643382352941,2585.7788497183465,0.014705882352941176,0.060633906259083235,97.94117647058823,1.0,627.1434895221693,0.014705882352941175
game1,4,comp=0.25,0.25,14,4797.428571428572,3126.2104379644993,0.10485214532075483,0.07194064864529737,58.218552550000005,1.0,835.5148841299763,0.019226947100927545
game1,4,comp=0.50,0.5,14,5076.241071428572,3092.4058007209237,0.10769180315349004,0.05898668363080932,46.980357142857144,1.0,826.4802147978593,0.015764854323465374
game1,4,comp=0.75,0.75,14,4485.013392857143,2384.9339180313873,0.14499909429263033,0.09190167746173551,36.109410714285715,1.0,637.4004008121327,0.024561756452258495
game1,4,comp=1.00,1.0,16,4471.55859375,2898.446252724318,0.20375,0.09932270636667125,22.732015625,1.0,724.6115631810795,0.02483067659166781
game1,6,comp=0.00,0.0,11,4286.542929292929,1201.8071556009506,0.015151515151515154,0.05025189076296061,98.48484848484848,1.0,362.3584914084202,0.015151515151515154
game1,6,comp=0.25,0.25,12,5741.032407407408,2018.5847749508778,0.13350161975895727,0.05187426292226268,52.90833333333333,1.0,582.7152315999847,0.014974809831090891
game1,6,comp=0.50,0.5,9,5530.740740740741,1471.8631324388543,0.20663606692888106,0.10118733362953414,35.18888888888889,1.0,490.62104414628476,0.03372911120984471
