n,subset_count,stddev_mean,stddev_min,stddev_p05,stddev_p50,stddev_p95,stddev_max,variance_mean,variance_min,variance_p05,variance_p50,variance_p95,variance_max,five_strata_stddev_ranges,tertile_stddev_ranges
2,276,48.067029,0.500000,5.000000,42.500000,107.500000,132.000000,3370.144022,0.250000,25.000000,1806.250000,11557.000000,17424.000000,very_low:0.500000-15.000000 (55); low:15.500000-33.500000 (55); mid:34.000000-55.000000 (55); high:55.000000-78.000000 (55); very_high:78.500000-132.000000 (56),low:0.500000-26.000000 (92); mid:27.500000-61.500000 (92); high:61.500000-132.000000 (92)
4,10626,67.982763,4.769696,31.016125,68.935431,99.880006,125.961055,5055.216033,22.750000,962.000000,4752.093750,9976.015625,15866.187500,very_low:4.769696-50.241915 (2125); low:50.241915-63.349724 (2125); mid:63.361562-74.318571 (2125); high:74.320253-86.917705 (2125); very_high:86.917705-125.961055 (2126),low:4.769696-59.432735 (3542); mid:59.432735-78.314670 (3542); high:78.317862-125.961055 (3542)
6,134596,73.432342,9.861541,47.660620,74.298198,96.516838,119.409310,5616.906703,97.250000,2271.534722,5520.222222,9315.500000,14258.583333,very_low:9.861541-60.768459 (26919); low:60.768459-70.248764 (26919); mid:70.248764-78.181413 (26919); high:78.181413-86.521192 (26919); very_high:86.521192-119.409310 (26920),low:9.861541-67.352308 (44865); mid:67.353339-80.801024 (44865); high:80.801024-119.409310 (44866)
8,735471,75.892966,16.571342,55.686062,76.559515,94.155125,114.293960,5897.752038,274.609375,3100.937500,5861.359375,8865.187500,13063.109375,very_low:16.571342-65.915547 (147094); low:65.915547-73.443431 (147094); mid:73.443431-79.542442 (147094); high:79.542442-86.065019 (147094); very_high:86.065019-114.293960 (147095),low:16.571342-71.212600 (245157); mid:71.212600-81.565541 (245157); high:81.565828-114.293960 (245157)
10,1961256,77.292937,25.584370,60.654761,77.798200,92.231285,109.223120,6066.259239,654.560000,3679.000000,6052.560000,8506.610000,11929.690000,very_low:25.584370-69.205852 (392251); low:69.205852-75.290703 (392251); mid:75.290703-80.228985 (392251); high:80.228985-85.604673 (392251); very_high:85.604673-109.223120 (392252),low:25.584370-73.499728 (653752); mid:73.499728-81.886751 (653752); high:81.886751-109.223120 (653752)
