paper_run_id,paper_batch,source_root,experiment_family,game,n_agents,config_id,config_path,result_path,rollout_path,result_bytes,rollout_bytes,canonical_index
paper_run_5643,ttc,experiments/results/ttc_native_scaling_seed2048_20260727_043613,test_time_compute_comparable_complete_panels,game1,2,seed_2048_config_0096,experiments/results/ttc_native_scaling_seed2048_20260727_043613/configs/config_0096.json,experiments/results/ttc_native_scaling_seed2048_20260727_043613/claude-sonnet-4-6/level_medium/game1_comp_1p0/baseline_first/seed_2048/run_1_experiment_results.json,experiments/results/ttc_native_scaling_seed2048_20260727_043613/claude-sonnet-4-6/level_medium/game1_comp_1p0/baseline_first/seed_2048/run_1_all_interactions.json,18026,74206,analysis/ttc_complete_family_seed_panels_20260810/run_level_complete_panels.csv
paper_run_5644,ttc,experiments/results/ttc_native_scaling_seed2048_20260727_043613,test_time_compute_comparable_complete_panels,game1,2,seed_2048_config_0109,experiments/results/ttc_native_scaling_seed2048_20260727_043613/configs/config_0109.json,experiments/results/ttc_native_scaling_seed2048_20260727_043613/claude-sonnet-4-6/level_high/game1_comp_0p0/target_first/seed_2048/run_1_experiment_results.json,experiments/results/ttc_native_scaling_seed2048_20260727_043613/claude-sonnet-4-6/level_high/game1_comp_0p0/target_first/seed_2048/run_1_all_interactions.json,15130,68768,analysis/ttc_complete_family_seed_panels_20260810/run_level_complete_panels.csv
paper_run_5645,ttc,experiments/results/ttc_native_scaling_seed2048_20260727_043613,test_time_compute_comparable_complete_panels,game1,2,seed_2048_config_0110,experiments/results/ttc_native_scaling_seed2048_20260727_043613/configs/config_0110.json,experiments/results/ttc_native_scaling_seed2048_20260727_043613/claude-sonnet-4-6/level_high/game1_comp_0p0/baseline_first/seed_2048/run_1_experiment_results.json,experiments/results/ttc_native_scaling_seed2048_20260727_043613/claude-sonnet-4-6/level_high/game1_comp_0p0/baseline_first/seed_2048/run_1_all_interactions.json,15402,68284,analysis/ttc_complete_family_seed_panels_20260810/run_level_complete_panels.csv
paper_run_5646,ttc,experiments/results/ttc_native_scaling_seed2048_20260727_043613,test_time_compute_comparable_complete_panels,game1,2,seed_2048_config_0111,experiments/results/ttc_native_scaling_seed2048_20260727_043613/configs/config_0111.json,experiments/results/ttc_native_scaling_seed2048_20260727_043613/claude-sonnet-4-6/level_high/game1_comp_0p5/target_first/seed_2048/run_1_experiment_results.json,experiments/results/ttc_native_scaling_seed2048_20260727_043613/claude-sonnet-4-6/level_high/game1_comp_0p5/target_first/seed_2048/run_1_all_interactions.json,46397,230814,analysis/ttc_complete_family_seed_panels_20260810/run_level_complete_panels.csv
paper_run_5647,ttc,experiments/results/ttc_native_scaling_seed2048_20260727_043613,test_time_compute_comparable_complete_panels,game1,2,seed_2048_config_0112,experiments/results/ttc_native_scaling_seed2048_20260727_043613/configs/config_0112.json,experiments/results/ttc_native_scaling_seed2048_20260727_043613/claude-sonnet-4-6/level_high/game1_comp_0p5/baseline_first/seed_2048/run_1_experiment_results.json,experiments/results/ttc_native_scaling_seed2048_20260727_043613/claude-sonnet-4-6/level_high/game1_comp_0p5/baseline_first/seed_2048/run_1_all_interactions.json,18429,76123,analysis/ttc_complete_family_seed_panels_20260810/run_level_complete_panels.csv
paper_run_5648,ttc,experiments/results/ttc_native_scaling_seed2048_20260727_043613,test_time_compute_comparable_complete_panels,game1,2,seed_2048_config_0113,experiments/results/ttc_native_scaling_seed2048_20260727_043613/configs/config_0113.json,experiments/results/ttc_native_scaling_seed2048_20260727_043613/claude-sonnet-4-6/level_high/game1_comp_1p0/target_first/seed_2048/run_1_experiment_results.json,experiments/results/ttc_native_scaling_seed2048_20260727_043613/claude-sonnet-4-6/level_high/game1_comp_1p0/target_first/seed_2048/run_1_all_interactions.json,29915,144590,analysis/ttc_complete_family_seed_panels_20260810/run_level_complete_panels.csv
paper_run_5649,ttc,experiments/results/ttc_native_scaling_seed2048_20260727_043613,test_time_compute_comparable_complete_panels,game1,2,seed_2048_config_0114,experiments/results/ttc_native_scaling_seed2048_20260727_043613/configs/config_0114.json,experiments/results/ttc_native_scaling_seed2048_20260727_043613/claude-sonnet-4-6/level_high/game1_comp_1p0/baseline_first/seed_2048/run_1_experiment_results.json,experiments/results/ttc_native_scaling_seed2048_20260727_043613/claude-sonnet-4-6/level_high/game1_comp_1p0/baseline_first/seed_2048/run_1_all_interactions.json,18751,77513,analysis/ttc_complete_family_seed_panels_20260810/run_level_complete_panels.csv
paper_run_5650,ttc,experiments/results/ttc_native_scaling_seed2048_20260727_043613,test_time_compute_comparable_complete_panels,game1,2,seed_2048_config_0127,experiments/results/ttc_native_scaling_seed2048_20260727_043613/configs/config_0127.json,experiments/results/ttc_native_scaling_seed2048_20260727_043613/claude-sonnet-4-6/level_max/game1_comp_0p0/target_first/seed_2048/run_1_experiment_results.json,experiments/results/ttc_native_scaling_seed2048_20260727_043613/claude-sonnet-4-6/level_max/game1_comp_0p0/target_first/seed_2048/run_1_all_interactions.json,15236,66883,analysis/ttc_complete_family_seed_panels_20260810/run_level_complete_panels.csv
paper_run_5651,ttc,experiments/results/ttc_native_scaling_seed2048_20260727_043613,test_time_compute_comparable_complete_panels,game1,2,seed_2048_config_0128,experiments/results/ttc_native_scaling_seed2048_20260727_043613/configs/config_0128.json,experiments/results/ttc_native_scaling_seed2048_20260727_043613/claude-sonnet-4-6/level_max/game1_comp_0p0/baseline_first/seed_2048/run_1_experiment_results.json,experiments/results/ttc_native_scaling_seed2048_20260727_043613/claude-sonnet-4-6/level_max/game1_comp_0p0/baseline_first/seed_2048/run_1_all_interactions.json,14994,87514,analysis/ttc_complete_family_seed_panels_20260810/run_level_complete_panels.csv
paper_run_5652,ttc,experiments/results/ttc_native_scaling_seed2048_20260727_043613,test_time_compute_comparable_complete_panels,game1,2,seed_2048_config_0129,experiments/results/ttc_native_scaling_seed2048_20260727_043613/configs/config_0129.json,experiments/results/ttc_native_scaling_seed2048_20260727_043613/claude-sonnet-4-6/level_max/game1_comp_0p5/target_first/seed_2048/run_1_experiment_results.json,experiments/results/ttc_native_scaling_seed2048_20260727_043613/claude-sonnet-4-6/level_max/game1_comp_0p5/target_first/seed_2048/run_1_all_interactions.json,17536,93197,analysis/ttc_complete_family_seed_panels_20260810/run_level_complete_panels.csv
